"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"1","MF","daycare","3","indoor",588,0,1125,7.709,-0.00212156439735293,1.77594459488693e-06,2684.012,TRUE,1125
"2","MF","daycare","3","indoor",1102,801,1270,6.707,-0.00660496834602545,7.42899225843775e-07,1746.928,FALSE,469
"3","MF","daycare","3","indoor",1926,1924,1970,8.559,-0.0446601492522071,5.10731640070933e-07,142.929,TRUE,46
"4","MF","daycare","3","indoor",2183,2149,2298,33.79,-0.042085235413532,6.59417008056827e-06,974.687,TRUE,149
"5","MF","daycare","3","indoor",4100,3656,4584,85.789,-0.0100057607450737,3.83545258632898e-06,20613.724,FALSE,928
"6","MF","daycare","3","indoor",6191,4826,6374,16.501,-0.0160945084644691,1.06360416040326e-06,5209.178,TRUE,1548
"7","MF","daycare","3","indoor",6832,4778,7567,16.025,-0.00158500373272848,2.09567336394471e-06,9840.341,FALSE,2789
"8","MF","daycare","3","indoor",6866,6580,7208,10.434,-0.00677784717234788,4.24224948684632e-06,2560.619,TRUE,628
"9","MF","daycare","3","indoor",7760,7738,7898,6.746,-0.0117600553277752,8.26020092151869e-06,385.081,TRUE,160
"10","MF","daycare","3","indoor",8059,8055,8428,10.843,-0.00589578011844231,3.25840492142884e-06,1268.711,TRUE,373
"11","MF","daycare","3","indoor",8344,7869,8952,68.583,-0.00420244850239574,1.13124857125964e-06,29827.741,FALSE,1083
"12","MF","daycare","3","indoor",9831,9182,9993,47.617,-0.0166523728404097,1.23720540737141e-06,7491.431,TRUE,811
"13","MF","daycare","3","indoor",780,0,1120,11.832,-0.00693233426331808,3.27663851138419e-06,3877.486,TRUE,1120
"14","MF","daycare","3","indoor",1031,786,1270,8.695,-0.00487590793155389,1.07208122488694e-06,2671.439,FALSE,484
"15","MF","daycare","3","indoor",1926,1915,1976,9.57,-0.0371263747669572,1.74254461684071e-07,210.837,TRUE,61
"16","MF","daycare","3","indoor",2187,2046,2314,43.054,-0.0365600617137219,5.60637524394614e-06,1808.864,TRUE,268
"17","MF","daycare","3","indoor",2372,2328,2650,12.672,-0.00654800333611944,3.51799767266011e-06,1731.939,FALSE,322
"18","MF","daycare","3","indoor",4100,3659,4584,91.591,-0.009765394424142,9.04202509397547e-06,23896.395,FALSE,925
"19","MF","daycare","3","indoor",6191,4826,6411,44.58,-0.0188443604365868,3.01766393532459e-06,9869.322,TRUE,1585
"20","MF","daycare","3","indoor",6832,4996,7558,18.026,-0.00136904943240817,5.07035597884596e-07,11652.062,FALSE,2562
"21","MF","daycare","3","indoor",6869,6582,7398,12.176,-0.00529776298535883,9.02769642516554e-06,3497.312,TRUE,816
"22","MF","daycare","3","indoor",7789,7730,7945,7.74,-0.00486891083565365,9.9300252997299e-07,753.137,TRUE,215
"23","MF","daycare","3","indoor",8060,8006,9180,32.233,-0.00789261257940919,5.16527546137419e-06,4866.823,TRUE,1174
"24","MF","daycare","3","indoor",8355,7864,8952,72.243,-0.00418433685465064,2.97631815472701e-07,32130.859,FALSE,1088
"25","MF","daycare","3","indoor",9831,9180,9993,48.175,-0.0162932477132544,1.36731144877346e-06,8660.447,TRUE,813
"26","MF","daycare","3","indoor",24,0,116,16.173,-0.00798888303866526,1.40659497848452e-06,657.78,FALSE,116
"27","MF","daycare","3","indoor",359,355,463,31.274,-0.023567876708577,9.61172716002795e-06,822.545,TRUE,108
"28","MF","daycare","3","indoor",682,463,1065,67.168,-0.00553409485316928,3.00760216505023e-06,7755.762,TRUE,602
"29","MF","daycare","3","indoor",682,678,766,23.945,-0.0219415412604224,4.7651118064837e-06,781.495,FALSE,88
"30","MF","daycare","3","indoor",1033,797,1236,37.167,-0.00673651135426046,4.36188413694908e-06,4834.215,FALSE,439
"31","MF","daycare","3","indoor",1920,1916,1974,14.221,-0.0261517136893391,4.19129901233669e-06,412.644,TRUE,58
"32","MF","daycare","3","indoor",2187,2043,2298,125.036,-0.0498246863261445,3.67963959829082e-06,4188.679,TRUE,255
"33","MF","daycare","3","indoor",2366,2332,2634,53.141,-0.00690565922798647,2.62930628293269e-06,4430.182,FALSE,302
"34","MF","daycare","3","indoor",3508,3482,3567,13.873,-0.0184721515885931,1.1771461984882e-06,542.473,TRUE,85
"35","MF","daycare","3","indoor",3946,3930,4338,15,-0.00219016051512481,7.92173549848744e-07,2096.025,TRUE,408
"36","MF","daycare","3","indoor",3966,3673,4495,108.229,-0.00446123316969508,2.70862712548426e-06,28059.809,FALSE,822
"37","MF","daycare","3","indoor",4830,4826,5219,163.472,-0.0236980795937324,7.98505021160935e-06,8744.279,TRUE,393
"38","MF","daycare","3","indoor",5269,5179,5481,21.799,-0.00713926838071663,1.22336700097491e-06,2178.843,FALSE,302
"39","MF","daycare","3","indoor",5485,5323,5619,17.081,-0.0117049168412434,2.72154369770897e-06,1999.927,TRUE,296
"40","MF","daycare","3","indoor",5509,5507,5564,42.217,-0.0426574595978237,7.41301040643454e-06,463.325,FALSE,57
"41","MF","daycare","3","indoor",6194,6048,6430,128.107,-0.0220691720534929,3.88677878316679e-06,8343.428,TRUE,382
"42","MF","daycare","3","indoor",6455,6446,6531,44.226,-0.0388618008432979,5.53849512228847e-06,1164.361,TRUE,85
"43","MF","daycare","3","indoor",6834,6758,7154,21.29,-0.00629199846233535,1.09044282861655e-06,3076.054,TRUE,396
"44","MF","daycare","3","indoor",7175,6383,7467,39.015,-0.00760099861248921,5.68091739929531e-06,9142.424,FALSE,1084
"45","MF","daycare","3","indoor",7533,7495,7650,23.799,-0.0135037411834445,8.78935133792048e-07,1328.963,TRUE,155
"46","MF","daycare","3","indoor",7850,7731,7957,39.786,-0.0269630985218197,3.59292489653968e-06,2407.987,TRUE,226
"47","MF","daycare","3","indoor",8058,8026,8358,206.949,-0.0268289776071109,4.73948515613778e-06,5992.312,TRUE,332
"48","MF","daycare","3","indoor",8352,7874,8952,88.569,-0.00426970681885859,2.39056859427045e-06,37949.787,FALSE,1078
"49","MF","daycare","3","indoor",9831,8918,9993,49.932,-0.0158043760762874,3.70732835954864e-06,13160.469,TRUE,1075
"50","MF","daycare","2","indoor",414,0,1269,4.859,-0.000873566616932966,3.8858327379001e-06,3913.698,TRUE,1269
"51","MF","daycare","2","indoor",2221,1830,2401,4.713,0.000136652342985593,7.53480063734384e-06,17995.689,TRUE,571
"52","MF","daycare","2","indoor",2489,2403,3863,4.633,-0.000419512098554442,3.19388457740725e-06,3580.415,TRUE,1460
"53","MF","daycare","2","indoor",4527,4217,5053,5.85,-0.00171267643670849,1.81368179574995e-06,2143.099,TRUE,836
"54","MF","daycare","2","indoor",8687,4688,9866,99.784,-0.00183622030524066,5.79732809511466e-06,66029.581,FALSE,5178
"55","MF","daycare","2","indoor",10309,5267,10517,10.074,-0.00638204142517134,4.3098715672558e-06,26005.123,TRUE,5250
"56","MF","daycare","2","indoor",11037,10981,11070,75.846,-0.0623752498521272,3.73396164627667e-07,1716.041,TRUE,89
"57","MF","daycare","2","indoor",11631,11336,13696,6.561,0.00155908340128775,6.30667704317037e-06,27931.752,TRUE,2360
"58","MF","daycare","2","indoor",11707,10518,12358,32.921,-0.000141285830115803,7.60221579110054e-06,52373.427,FALSE,1840
"59","MF","daycare","2","indoor",14460,14275,14760,5.005,-0.00182856727808674,9.21039375316098e-07,2419.662,TRUE,485
"60","MF","daycare","2","indoor",16082,14842,16493,5.843,-0.00137608235466738,1.77014314240835e-06,5800.471,TRUE,1651
"61","MF","daycare","2","indoor",17818,17184,19357,10.945,-0.000496215247718288,3.34165020260068e-06,8954.839,TRUE,2173
"62","MF","daycare","2","indoor",409,0,1269,6.212,-0.00118661798921425,3.20154031995026e-06,4972.763,TRUE,1269
"63","MF","daycare","2","indoor",2489,1808,3469,5.804,-0.00061192793414637,2.17637687963413e-07,25317.608,TRUE,1661
"64","MF","daycare","2","indoor",4713,4355,4929,13.036,-0.00914910733710862,1.19397497113797e-06,3335.529,TRUE,574
