"","participant_id","environment","room","type","case","mean","median","q5","q25","q75","q95","sd"
"1","10","indoor","back","pm1","after",1.21905196067841,0.884,0.086,0.502,1.496,2.7164,1.82744559307138
"2","10","indoor","back","pm1","before",5.4984779598347,2.105,0.82,1.31525,4.131,13.69475,19.2256824615386
"3","10","indoor","back","pm1","redu",77.8292834929349,58.0047505938242,89.5121951219512,61.8323512640182,63.7860082304527,80.1646616404097,90.4947686682789
"4","10","indoor","back","pm10","after",3.21584379388571,2.104,0.3116,1.187,3.351,10.2201999999999,4.51308758620204
"5","10","indoor","back","pm10","before",9.43715631117233,3.657,1.175,2.017,7.40475,29.44875,30.283387635481
"6","10","indoor","back","pm10","redu",65.9235929993172,42.4665025977577,73.4808510638298,41.1502231036192,54.7452648637699,65.2949615858062,85.0971508190373
"7","10","indoor","back","pm1num","after",4.02538403370422,3.323,0.259,1.765,4.76,9.1316,5.43071882948693
"8","10","indoor","back","pm1num","before",11.1720229101718,5.1705,2.127,3.527,11.865,31.93625,20.5029496758275
"9","10","indoor","back","pm1num","redu",63.9690674995016,35.7315540083164,87.823225199812,49.9574709384746,59.882005899705,71.4067869583937,73.5124998336722
"10","10","indoor","back","pm25","after",1.58912466241763,1.257,0.164,0.784,2.02,3.1036,2.11128467616505
"11","10","indoor","back","pm25","before",6.1339077068078,2.443,1.028,1.657,4.588,15.20875,21.2169945499987
"12","10","indoor","back","pm25","redu",74.0927849198983,48.5468686041752,84.0466926070039,52.6855763427882,55.9721011333915,79.5933262102408,90.0490869656882
"13","10","indoor","back","temp","after",25.2861661445393,25.7,22.64,23.97,26.34,27.562,1.45263158794699
"14","10","indoor","back","temp","before",23.0234948887117,22.945,19.74,21.67,24.2,26.8275,1.95814788734974
"15","10","indoor","back","temp","redu",-9.82766198947921,-12.0069731967749,-14.6909827760892,-10.613751730503,-8.84297520661157,-2.73786226819491,25.8160429387662
"16","10","indoor","main","pm1","after",1.07875429897669,0.577,0.08,0.3205,0.999,2.169,3.45272620568143
"17","10","indoor","main","pm1","before",5.43758598660484,1.734,0.671,1.13,3.6535,13.9667,21.0917558696314
"18","10","indoor","main","pm1","redu",80.1611542027265,66.7243367935409,88.0774962742176,71.6371681415929,72.6563569180238,84.4702041283911,83.62997264418
"19","10","indoor","main","pm10","after",4.61176600907269,1.528,0.468,0.914,3.097,18.8966,12.3885584636741
"20","10","indoor","main","pm10","before",10.0920095826893,3,0.945,1.691,8.2245,32.437,32.3291110227879
"21","10","indoor","main","pm10","redu",54.3027979582661,49.0666666666667,50.4761904761905,45.9491425192194,62.344215453827,41.7436877639732,61.6798666225565
"22","10","indoor","main","pm1num","after",4.96343939234096,3.378,0.4889,1.886,5.287,10.3044,10.506279753279
"23","10","indoor","main","pm1num","before",13.1103568263782,5.633,2.201,3.713,13.872,47.5566,22.941049814014
"24","10","indoor","main","pm1num","redu",62.1410808411066,40.0319545535239,77.7873693775557,49.2054942095341,61.8872549019608,78.3323450372819,54.2031431061144
"25","10","indoor","main","pm25","after",1.49909199282625,0.895,0.222,0.5515,1.403,2.7046,4.39168038571028
"26","10","indoor","main","pm25","before",6.06457753735188,2.1,0.837,1.438,4.102,15.3632,22.8417217044129
"27","10","indoor","main","pm25","redu",75.2811802043373,57.3809523809524,73.4767025089606,61.6481223922114,65.7971721111653,82.3955946677775,80.773426615815
"28","10","indoor","main","temp","after",25.2511910539086,25.41,23.4,24.54,25.88,26.98,1.00003664487623
"29","10","indoor","main","temp","before",23.1978299845441,23.2,20.42,22.04,24.29,26.03,1.6739758705866
"30","10","indoor","main","temp","redu",-8.85152219294942,-9.52586206896552,-14.5935357492654,-11.3430127041742,-6.54590366405928,-3.64963503649635,40.2597933191356
"31","10","outdoor",NA,"pm1","after",0.656095729805313,0.381,0.058,0.183,0.892,1.7244,1.08607411719363
"32","10","outdoor",NA,"pm1","before",2.09147755675009,1.503,0.377,0.854,2.5385,5.1657,2.8727537970356
"33","10","outdoor",NA,"pm1","redu",68.6300372821209,74.6506986027944,84.6153846153846,78.5714285714286,64.861138467599,66.6182705151287,62.1939715713074
"34","10","outdoor",NA,"pm10","after",6.56520716360116,4.543,0.8874,2.525,8.6,17.8004,7.88996744657304
"35","10","outdoor",NA,"pm10","before",10.226801006608,6.837,1.2223,3.3755,13.451,28.2264,13.2712154690984
"36","10","outdoor",NA,"pm10","redu",35.8039023213703,33.5527278045926,27.3991655076495,25.1962672196712,36.0642331425173,36.9370518379956,40.5482680546888
"37","10","outdoor",NA,"pm1num","after",12.3413334408949,11.692,6.7312,9.058,14.117,20.9724,5.31399301812889
"38","10","outdoor",NA,"pm1num","before",16.7997066799055,12.963,6.8523,9.8875,19.2415,41.7378,11.2307100676452
"39","10","outdoor",NA,"pm1num","redu",26.5383992944552,9.80482912905963,1.76728981509858,8.38938053097345,26.6325390432139,49.7520233457441,52.6833745495923
"40","10","outdoor",NA,"pm25","after",1.28884188447886,0.989,0.273,0.612,1.615,2.76339999999999,1.4711497048661
"41","10","outdoor",NA,"pm25","before",2.92533943917554,2.193,0.647,1.33,3.802,6.4847,3.14212706386543
"42","10","outdoor",NA,"pm25","redu",55.9421423982817,54.9019607843137,57.8052550231839,53.984962406015,57.5223566543924,57.3858466852748,53.1798149799743
"43","10","outdoor",NA,"temp","after",21.291833924922,20.24,14.3,15.82,25.43,32.8,6.06674126117764
"44","10","outdoor",NA,"temp","before",17.8074495840038,17.22,8.79,13.39,21.54,28.75,6.10029426973356
"45","10","outdoor",NA,"temp","redu",-19.5670038232098,-17.5377468060395,-62.6848691695108,-18.1478715459298,-18.0594243268338,-14.0869565217391,0.550022786972582
"46","10","ratio","back","pm1","after",4.43463759639,2.5904296875,0.105395683453237,1.05807259073842,4.9735194992778,11.9934759916493,8.78255189713208
"47","10","ratio","back","pm1","before",4.13000796130512,1.36062211567154,0.436092979806711,0.753930161849908,2.83450359567282,15.0555468717391,10.6963142015319
"48","10","ratio","back","pm1","redu",-7.37600600141727,-90.3856814955181,75.8318321244355,-40.3409286799516,-75.4635099729782,20.3384899012716,17.8917921476701
"49","10","ratio","back","pm10","after",0.696564011987125,0.451252691097495,0.0724381428968585,0.279025229974716,0.694161528387764,1.9628168522918,1.09394249911499
"50","10","ratio","back","pm10","before",1.35338228239127,0.590885436876126,0.0884319710366353,0.315160857411299,1.05072798762378,4.48957127718289,3.38019580711129
"51","10","ratio","back","pm10","redu",48.5316143819782,23.6311029286553,18.0860247174079,11.4657726639651,33.9351824102824,56.2805281148488,67.636712145091
"52","10","ratio","back","pm1num","after",0.339079680746304,0.271332599429813,0.0310046182303725,0.175354602078167,0.368161102754642,0.724329481280872,0.542219830108327
"53","10","ratio","back","pm1num","before",0.840734796947682,0.378700673101565,0.148442497732661,0.2474874830221,0.644627547133462,3.07059434272359,1.68157924582085
"54","10","ratio","back","pm1num","redu",59.6686515203909,28.3516986628002,79.1133814750203,29.1460723843925,42.8877800224665,76.4107726246119,67.7553209903202
"55","10","ratio","back","pm25","after",1.861909876402,1.49640522875817,0.130506754952742,0.731710442024343,2.06319602844492,4.14968445823083,3.24403840944177
"56","10","ratio","back","pm25","before",3.10429873558912,1.15213591203481,0.308553266110179,0.661894415926584,2.26517048497985,9.23467149411936,8.56812240737188
"57","10","ratio","back","pm25","redu",40.0215625172861,-29.8809639667722,57.7036546726619,-10.5479098203336,8.91652340846784,55.0640814795269,62.1382812335799
"58","10","ratio","back","temp","after",1.26577510900612,1.28748735424099,0.79684903809581,1.05081835870436,1.49715269500728,1.65435830994026,0.276246435323959
"59","10","ratio","back","temp","before",1.42715993452583,1.36100632080266,0.854887037218371,1.13957883378118,1.62587903674048,2.26716437966603,0.427070781804243
"60","10","ratio","back","temp","redu",11.3081107180415,5.40180934048229,6.78896703258071,7.78888414260086,7.91733817979887,27.029626754106,35.3160068321925
"61","10","ratio","main","pm1","after",3.88195773760022,1.78217914259586,0.10225747851278,0.689086074631306,3.66802444682258,8.57029688107698,14.131206188438
"62","10","ratio","main","pm1","before",3.97773755782613,1.11909042220499,0.381881774090766,0.648133813662349,2.55159120197964,15.4828996176716,10.037227960193
"63","10","ratio","main","pm1","redu",2.40789692214543,-59.2524703307127,73.2227392217792,-6.31848857530702,-43.754393100931,44.6466934959963,-40.7879371125329
"64","10","ratio","main","pm10","after",0.971897574833934,0.323632752901816,0.119369927702392,0.202044412238272,0.681671746642746,4.11724049924042,2.38687035404353
"65","10","ratio","main","pm10","before",1.47711057783642,0.523034340803558,0.071401255978602,0.238144283796603,1.15539387451595,5.10792839129642,3.78889470756602
"66","10","ratio","main","pm10","redu",34.2027882396245,38.12399537579,-67.1818318408367,15.1588234589596,41.0009208393691,19.3951014220181,37.003518485821
"67","10","ratio","main","pm1num","after",0.433707734064799,0.284807292331238,0.0459455676259166,0.171479278766179,0.433741229669027,0.81664955991082,1.01318311654076
"68","10","ratio","main","pm1num","before",1.03201809291015,0.407970797769986,0.14270943347348,0.255049654817853,0.790856394314467,4.55865455290331,1.93714723441688
"69","10","ratio","main","pm1num","redu",57.97479355795,30.1892944573419,67.8048139442339,32.7663160772973,45.1555006968105,82.0857327434317,47.6971549431171
"70","10","ratio","main","pm25","after",1.81084952418665,1.00625378654416,0.154630568921907,0.570134509384342,1.53513228162338,3.56677523761194,6.6968193280512
"71","10","ratio","main","pm25","before",2.98760211706615,0.985514227163091,0.265519022110897,0.556923809301576,2.14051445761494,9.75675135316106,7.97954205620165
"72","10","ratio","main","pm25","redu",39.3878617958364,-2.10444038345029,41.7629035793435,-2.37208391204046,28.2820876933534,63.4430036340288,16.0751421462029
"73","10","ratio","main","temp","after",1.27005156143744,1.27013859510022,0.787337603203604,1.03258605643839,1.52831794113073,1.68940062669282,0.296228464310276
"74","10","ratio","main","temp","before",1.44643437285965,1.38011773971734,0.851908816014472,1.13615576154882,1.66559293524664,2.33831024114075,0.451851879344803
"75","10","ratio","main","temp","redu",12.1943182996613,7.96882334398804,7.57959204049026,9.11580160182007,8.24180934074314,27.7512197924327,34.441245494029
"76","2","indoor","base","pm1","after",3.1834086588138,2.4195,1.053,1.71,3.519,6.74705,3.31015068512077
"77","2","indoor","base","pm1","before",5.95462921498067,2.691,1.271,1.865,5.3625,20.9437999999999,10.566047370885
"78","2","indoor","base","pm1","redu",46.5389272130501,10.0891861761427,17.1518489378442,8.31099195710456,34.3776223776224,67.7849769382824,68.6718167264518
"79","2","indoor","base","pm10","after",8.57678042984088,4.1045,1.65985,2.737,6.5435,22.7555,30.4096097727442
"80","2","indoor","base","pm10","before",11.9472381713981,4.702,1.9961,3.1325,8.9985,54.6557999999998,21.1956584646318
"81","2","indoor","base","pm10","redu",28.2111873322,12.7073585708209,16.8453484294374,12.6256983240224,27.2823248319164,58.365809301117,-43.4709368594859
"82","2","indoor","base","pm1num","after",6.45817069642488,4.6335,2.431,3.688,6.51475,15.4327,6.82834450239457
"83","2","indoor","base","pm1num","before",9.95562308409969,4.66,2.94,3.762,8.6835,35.6253,14.7016216279751
"84","2","indoor","base","pm1num","redu",35.1304218543655,0.568669527897005,17.312925170068,1.96703880914407,24.9755283008004,56.6805051466233,53.5538005589724
"85","2","indoor","base","pm25","after",4.03244957635875,2.815,1.30785,2.036,4.046,9.92165,5.42268743946442
"86","2","indoor","base","pm25","before",7.64753845128615,3.194,1.608,2.246,6.677,31.8849,13.268815987908
"87","2","indoor","base","pm25","redu",47.2712742532131,11.8659987476518,18.6660447761194,9.34995547640249,39.4039239179272,68.8829195010804,59.1320925363184
"88","2","indoor","base","temp","after",21.8473951229593,21.84,20.19,21.01,22.47,23.8415,1.10317028054486
"89","2","indoor","base","temp","before",22.2811102225776,22.43,19.84,21.46,23.12,23.97,1.24989076845298
"90","2","indoor","base","temp","redu",1.94655964305971,2.63040570664289,-1.76411290322581,2.09692451071761,2.81141868512112,0.536086775135597,11.738664818664
"91","2","indoor","main","pm1","after",8.40443707865169,3.171,1.574,2.243,4.5325,27.1091,25.4915442127677
"92","2","indoor","main","pm1","before",12.3508618080446,2.946,1.477,2.083,6.455,52.5236,37.6491277707843
"93","2","indoor","main","pm1","redu",31.9526263893784,-7.63747454175151,-6.56736628300609,-7.68122899663945,29.7831138652208,48.3868204007342,32.2918066841667
"94","2","indoor","main","pm10","after",14.6317060265577,5.454,2.14245,3.51625,9.58425,51.8991,37.2179926095588
"95","2","indoor","main","pm10","before",25.3650143369176,5.268,2.1598,3.391,12.257,117.459,81.3338310194773
"96","2","indoor","main","pm10","redu",42.3154040750453,-3.53075170842824,0.803315121770533,-3.69360070775582,21.8059068287509,55.8151354940873,54.2404530279091
"97","2","indoor","main","pm1num","after",10.0757596527068,4.424,2.41845,3.30325,6.575,35.0529999999999,23.1112031387713
"98","2","indoor","main","pm1num","before",12.9946682596575,3.983,2.4102,3.2,10.144,61.2596,27.4488381486025
"99","2","indoor","main","pm1num","redu",22.4623557033198,-11.0720562390158,-0.34229524520788,-3.2265625,35.1833596214511,42.7795806698053,15.8026178971516
"100","2","indoor","main","pm25","after",10.4523691521961,3.7195,1.87145,2.65525,5.566,34.2867999999999,31.8241470368418
"101","2","indoor","main","pm25","before",17.0494374087349,3.533,1.823,2.516,8.203,81.6908,53.0561977938924
"102","2","indoor","main","pm25","redu",38.6937592038018,-5.27879988678178,-2.65770707624796,-5.53457869634341,32.1467755699134,58.0285662522586,40.0180405680988
"103","2","indoor","main","temp","after",22.3005219611849,22.31,21.26,21.92,22.77,23.23,0.586128446333238
"104","2","indoor","main","temp","before",22.279316341431,22.31,20.78,21.84,22.8,23.75,0.876293488905782
"105","2","indoor","main","temp","redu",-0.0951807471507044,0,-2.30991337824832,-0.366300366300375,0.131578947368426,2.18947368421052,33.1127694369691
"106","2","outdoor",NA,"pm1","after",6.54436588608242,4.938,1.6088,2.997,7.674,17.6944,7.27870513550787
"107","2","outdoor",NA,"pm1","before",7.34776235387885,4.505,1.40535,2.51975,8.84075,21.88625,11.8918416041135
"108","2","outdoor",NA,"pm1","redu",10.9338929200986,-9.61154273029966,-14.4768207208169,-18.9403710685584,13.1974097220258,19.1528927979896,38.7924479839181
"109","2","outdoor",NA,"pm10","after",10.7248637897536,8.654,3.526,6.0585,12.599,23.8516,8.74516446323997
"110","2","outdoor",NA,"pm10","before",14.6402209086079,11.424,2.90375,6.54475,18.489,36.6173,15.664216588966
"111","2","outdoor",NA,"pm10","redu",26.7438390670201,24.2471988795518,-21.4291863969005,7.42961916039572,31.8567797068527,34.8624830339757,44.1710703272571
"112","2","outdoor",NA,"pm1num","after",11.4765411596278,8.604,4.0866,6.584,11.0795,30.2714000000001,13.1252819067688
"113","2","outdoor",NA,"pm1num","before",11.3352405685441,7.3185,3.73135,5.63575,11.1055,33.70575,16.2836713974234
"114","2","outdoor",NA,"pm1num","redu",-1.24656014337965,-17.565074810412,-9.52068286277084,-16.8256221443463,0.234118229706,10.1892110396591,19.396052730187
"115","2","outdoor",NA,"pm25","after",7.65132835668269,5.922,2.7019,3.977,8.741,19.3878,7.52672695337525
"116","2","outdoor",NA,"pm25","before",9.80607040382572,6.003,2.09005,3.28275,13.203,26.9566,14.0145968524222
"117","2","outdoor",NA,"pm25","redu",21.9735526914266,1.34932533733134,-29.2744192722662,-21.1484273855761,33.7953495417708,28.0777249356372,46.2936605837907
"118","2","outdoor",NA,"temp","after",0.625036302280397,0.67,-5.91,-3.18,4.43,6.72,4.23848496550763
"119","2","outdoor",NA,"temp","before",5.49335281615303,4.21,-5.3865,0.39,10.3,18.103,7.23282753316257
"120","2","outdoor",NA,"temp","redu",88.621952326774,84.0855106888361,-9.71874129768867,915.384615384615,56.9902912621359,62.8790808153345,41.3993359294945
"121","2","ratio","base","pm1","after",0.922538881639259,0.478349225509213,0.192368362105844,0.347052921068302,0.650757134763611,1.69925485028991,3.07006338331921
"122","2","ratio","base","pm1","before",1.04338571492149,0.607915047347967,0.315555694311198,0.423913322990151,0.96940391549011,2.65762146640354,1.74559013326407
"123","2","ratio","base","pm1","redu",11.5821820784009,21.313146039728,39.0382219133299,18.1311597804241,32.8703830915927,36.0610654387344,-75.8753859119558
"124","2","ratio","base","pm10","after",1.18675728365881,0.438443685345551,0.191380909613752,0.32606269454523,0.660537046718394,2.69277968105653,5.22531168934912
"125","2","ratio","base","pm10","before",0.926641911455104,0.433215011889582,0.204792923344461,0.323089950005267,0.724003193143145,2.95949580222017,1.65029744661844
"126","2","ratio","base","pm10","redu",-28.070754083986,-1.20694650750044,6.54906112558882,-0.920098115064921,8.76600366211405,9.01221488347954,-216.628478099879
"127","2","ratio","base","pm1num","after",0.808591052822216,0.521286319936631,0.197628692740761,0.401583199883184,0.667592008528139,1.81948209050001,1.6525616303731
"128","2","ratio","base","pm1num","before",1.14300180858875,0.612092040763674,0.341869347752119,0.515421093261773,0.841273897752303,3.43217414616455,1.91639917917521
"129","2","ratio","base","pm1num","redu",29.2572376748401,14.8353049508289,42.1917483856854,22.0863862319217,20.6451061524913,46.9874775283975,13.7673586833649
"130","2","ratio","base","pm25","after",0.707291569863275,0.466395687191134,0.195155331594908,0.318762031936407,0.610409079629682,1.62667641396069,1.27277222034918
"131","2","ratio","base","pm25","before",0.955104072698969,0.564449828637696,0.231744095573429,0.397623184991017,0.839306856097298,2.54972960973035,1.51843185795783
"132","2","ratio","base","pm25","redu",25.9461256547065,17.3716310062874,15.7884341726097,19.8331375109305,27.2722395634858,36.2020032338755,16.1785091850644
"133","2","ratio","base","temp","after",2.33135334436183,3.43345450085063,-28.1904418326335,-4.93832790895416,5.93702569263252,43.7714163302909,160.236198648522
"134","2","ratio","base","temp","before",-12.9387905340568,2.40388460439874,-16.0285549021498,1.11101259916006,5.76971116315379,40.2297529787852,433.073331739075
"135","2","ratio","base","temp","redu",118.018325114897,-42.8294226173724,-75.8763781559152,544.48892052958,-2.89987704319112,-8.80359209109081,63.0002156897843
"136","2","ratio","main","pm1","after",3.60011972074462,0.600751138694297,0.214474054201425,0.439539279485292,0.903573991649901,8.35512056187028,22.438756474734
"137","2","ratio","main","pm1","before",1.87869798403118,0.738973520093216,0.313547554610205,0.444876673947894,1.18051996907174,7.33403952663514,4.67286315220291
"138","2","ratio","main","pm1","redu",-91.6284443452559,18.7046460584248,31.5975994556698,1.19974698049174,23.4596605459882,-13.922491575439,-380.192886970288
"139","2","ratio","main","pm10","after",1.8918640469514,0.570452891960713,0.209933727988655,0.405201587016208,1.07824401780128,6.40466420445902,7.22798051326864
"140","2","ratio","main","pm10","before",1.70465475582251,0.478565456116358,0.209530515785304,0.323101101438545,1.03393921513132,6.59566109659083,4.39334599382926
"141","2","ratio","main","pm10","redu",-10.9822408607639,-19.2005993474827,-0.192436028632766,-25.4101534201298,-4.28504906493311,2.89579602915832,-64.5210853736721
"142","2","ratio","main","pm1num","after",1.47943125252272,0.458290380882254,0.153724484191499,0.363852120378526,0.730163488000567,6.00659292246699,4.83776893314474
"143","2","ratio","main","pm1num","before",1.42161829233796,0.51516075846082,0.267980529866434,0.409396223742377,0.88225618865484,4.95830737257568,3.06465721648557
"144","2","ratio","main","pm1num","redu",-4.06670063942995,11.0393458050806,42.6359503550063,11.1247004057641,17.2390630533481,-21.142004138133,-57.8567712930877
"145","2","ratio","main","pm25","after",2.09681538778267,0.587728799867815,0.2114341656766,0.429460469739415,0.887121505188296,6.5725290517565,7.60874560191067
"146","2","ratio","main","pm25","before",1.77653860489685,0.663523613145276,0.244910600924593,0.41463061591266,1.04328697668343,7.33183201623099,4.12214549859781
"147","2","ratio","main","pm25","redu",-18.0281352740103,11.4230770052288,13.668838801429,-3.57664225882409,14.9686016393664,10.3562515179503,-84.5821697584151
"148","2","ratio","main","temp","after",2.11224609721845,3.51155527795128,-28.9847008388848,-5.05101632019937,5.81393983536365,43.5837490933866,168.497166695921
"149","2","ratio","main","temp","before",-12.5075828809127,2.36425838858362,-15.8081842707989,1.11828708750111,5.79575619230835,38.7811164390197,421.16647717546
"150","2","ratio","main","temp","redu",116.887724169646,-48.5267132775191,-83.3524985688944,551.674384570266,-0.313740648363336,-12.3839463516187,59.992740204315
