"","participant_id","environment","room","type","case","mean","median","q5","q25","q75","q95","sd"
"1","2","indoor","base","pm1","after",2.96945874305259,1.766,0.818,1.244,2.9185,9.7603,3.98045979386298
"2","2","indoor","base","pm1","before",5.95462921498067,2.691,1.271,1.865,5.3625,20.9437999999999,10.566047370885
"3","2","indoor","base","pm1","redu",50.1319286920164,34.3738387216648,35.6412273800157,33.2975871313673,45.5757575757576,53.3976642252121,62.3278255894323
"4","2","indoor","base","pm10","after",9.68385634886704,5.023,1.4627,2.933,10.069,25.0707,31.6249529473085
"5","2","indoor","base","pm10","before",11.9472381713981,4.702,1.9961,3.1325,8.9985,54.6557999999998,21.1956584646318
"6","2","indoor","base","pm10","redu",18.9448120984952,-6.82688217779668,26.7221081108161,6.3687150837989,-11.8964271823082,54.1298453229116,-49.204861930001
"7","2","indoor","base","pm1num","after",6.12475074818298,3.416,2.1416,2.587,5.491,20.3196,8.64184607406731
"8","2","indoor","base","pm1num","before",9.95562308409969,4.66,2.94,3.762,8.6835,35.6253,14.7016216279751
"9","2","indoor","base","pm1num","redu",38.479483439214,26.6952789699571,27.156462585034,31.2333864965444,36.7651292681522,42.9630066273127,41.2184159492781
"10","2","indoor","base","pm25","after",3.84627490380504,2.185,1.0506,1.53,3.6015,13.4282,5.47160871201966
"11","2","indoor","base","pm25","before",7.64753845128615,3.194,1.608,2.246,6.677,31.8849,13.268815987908
"12","2","indoor","base","pm25","redu",49.7057134356979,31.5904821540388,34.6641791044776,31.8788958147818,46.0611052868055,57.8853940266396,58.7633989573297
"13","2","indoor","base","temp","after",21.482654980761,21.21,19.62,20.72,22.06,23.83,1.23690226295918
"14","2","indoor","base","temp","before",22.2811102225776,22.43,19.84,21.46,23.12,23.97,1.24989076845298
"15","2","indoor","base","temp","redu",3.58355231781738,5.43914400356665,1.10887096774193,3.44827586206897,4.5847750865052,0.584063412599085,1.03917124772994
"16","2","indoor","main","pm1","after",15.4828093631379,3.709,1.641,2.6365,6.7835,81.164,38.0165280404532
"17","2","indoor","main","pm1","before",12.3508618080446,2.946,1.477,2.083,6.455,52.5236,37.6491277707843
"18","2","indoor","main","pm1","redu",-25.3581296898112,-25.8995247793618,-11.1035883547732,-26.5722515602496,-5.08907823392719,-54.528630939235,-0.975853336910412
"19","2","indoor","main","pm10","after",25.4457659215521,8.972,2.91,5.123,19.1945,117.037,51.0158620726086
"20","2","indoor","main","pm10","before",25.3650143369176,5.268,2.1598,3.391,12.257,117.459,81.3338310194773
"21","2","indoor","main","pm10","redu",-0.318358127308435,-70.3113135914958,-34.7346976571905,-51.076378649366,-56.6003100269234,0.359274299968352,37.2759632330713
"22","2","indoor","main","pm1num","after",15.8504580345846,4.668,2.4865,3.1435,8.859,79.0015,32.1230028176937
"23","2","indoor","main","pm1num","before",12.9946682596575,3.983,2.4102,3.2,10.144,61.2596,27.4488381486025
"24","2","indoor","main","pm1num","redu",-21.9766270124261,-17.1980918905348,-3.16571238901339,1.76562499999999,12.6675867507886,-28.9618280236894,-17.0286430477904
"25","2","indoor","main","pm25","after",18.8012509489667,4.565,2.1205,3.1045,8.9805,93.4755,46.43705924911
"26","2","indoor","main","pm25","before",17.0494374087349,3.533,1.823,2.516,8.203,81.6908,53.0561977938924
"27","2","indoor","main","pm25","redu",-10.274905254846,-29.2103028587603,-16.319253976961,-23.3903020667726,-9.47823966841399,-14.4259818731118,12.4757122070748
"28","2","indoor","main","temp","after",22.2487431463517,22.26,21.155,21.63,22.9,23.36,0.721879887205004
"29","2","indoor","main","temp","before",22.279316341431,22.31,20.78,21.84,22.8,23.75,0.876293488905782
"30","2","indoor","main","temp","redu",0.1372268098839,0.224114746750323,-1.8046198267565,0.961538461538465,-0.438596491228061,1.6421052631579,17.6212197917382
"31","3","indoor",NA,"pm1","after",2.64748767520541,1.573,0.529,0.97725,3.26175,7.5312,2.9101239956019
"32","3","indoor",NA,"pm1","before",7.5576829813387,2.65,0.8304,1.568,4.606,48.758,14.3057149358123
"33","3","indoor",NA,"pm1","redu",64.9695854967383,40.6415094339623,36.2957610789981,37.6753826530612,29.184759009987,84.5539193568235,79.6576122992859
"34","3","indoor",NA,"pm10","after",10.3607718704688,5.9725,1.042,2.88375,10.31425,32.4049999999999,17.2682420353157
"35","3","indoor",NA,"pm10","before",11.3844092077327,4.652,1.0724,2.465,10.127,61.9336000000001,17.9949958023882
"36","3","indoor",NA,"pm10","redu",8.99157188208405,-28.3856405846948,2.83476314807907,-16.9878296146045,-1.84901747802902,47.6778356175002,4.03864371547148
"37","3","indoor",NA,"pm1num","after",6.09756307394877,3.8625,1.59485,2.3675,6.7765,19.905,6.63481910648577
"38","3","indoor",NA,"pm1num","before",10.6809907252207,4.847,1.6434,3.399,8.443,52.763,17.0873108209932
