"","participant_id","environment","hepa","pm","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","peak_wdh_mean","peak_wdh_median","total_plume_area"
"1","business_s1","indoor",FALSE,"pm1",-0.00637473834304808,-0.00514565166791531,3.12213653031442,3.06505376388558,90.5333333333333,75,2052.28036743618
"2","business_s1","indoor",TRUE,"pm1",-0.0117131031176683,-0.0117131031176683,3.30577859003501,3.30577859003501,264,264,500.18038446493
"3","business_s1","indoor",FALSE,"pm25",-0.00623420430802837,-0.0050295148057357,3.37037686882242,3.26427983843229,84.875,75,2355.46161106428
"4","business_s1","indoor",TRUE,"pm25",-0.0159733112472687,-0.0159733112472687,6.51744680710083,6.51744680710083,352,352,503.546711569674
"5","business_s1","indoor",FALSE,"pm10",-0.0110566280992311,-0.00872646177565979,4.15212115840452,4.08550450622825,92.6470588235294,100,2813.78198691749
"6","business_s1","indoor",TRUE,"pm10",-0.0284419342359346,-0.0323539934649903,6.1964918703748,6.53739764261436,190.666666666667,132,873.782792668109
"7","business_s2","indoor",FALSE,"pm1",-0.0198924863239742,-0.0170677557578631,3.959345,3.6344,59.2,48,1953.41055
"8","business_s2","indoor",TRUE,"pm1",-0.0814275976467792,-0.0738916048600434,4.12303571428571,2.60755,55.7142857142857,48,661.4146
"9","business_s2","indoor",FALSE,"pm25",-0.019506519484746,-0.0163491496488472,4.067245,3.6901,58.4,48,1987.28165
"10","business_s2","indoor",TRUE,"pm25",-0.0794167128590469,-0.0715025875090008,4.20862142857143,2.6982,52.2857142857143,48,691.73105
"11","business_s2","indoor",FALSE,"pm10",-0.0351314882208068,-0.0214240229116009,4.92414,4.573,62.5,64,2490.2525
"12","business_s2","indoor",TRUE,"pm10",-0.0821042556958842,-0.0844244502314435,4.77193571428571,3.979,42,36,714.8815
"13","principal_s1","indoor",FALSE,"pm1",-0.00674088634302055,-0.0058614965783733,4.93262,5.0734,500.2,400,1129.3162
"14","principal_s1","indoor",TRUE,"pm1",-0.00693022077552018,-0.0039941383216162,2.02341505325956,1.19060558790083,316.285714285714,176,1825.35570516077
"15","principal_s1","indoor",FALSE,"pm25",-0.00566076278634509,-0.00459417443570174,5.0124,4.8687,416.833333333333,287.5,1285.9448
"16","principal_s1","indoor",TRUE,"pm25",-0.00572905476249982,-0.00406635139147971,2.22382682753296,1.32017217150866,295.2,176,2255.08075896014
"17","principal_s1","indoor",FALSE,"pm10",-0.0088828121823008,-0.00383458739861304,8.2787875,6.6415,312.625,175,3509.3204
"18","principal_s1","indoor",TRUE,"pm10",-0.00869578776390044,-0.00545405960028114,3.00469532007121,2.01909826345496,210.857142857143,132,3345.9828549056
"19","principal_s2","indoor",FALSE,"pm1",-0.0049038506858908,-0.00423775340027178,4.26872727272727,3.8425,202.909090909091,96,2714.86975
"20","principal_s2","indoor",TRUE,"pm1",-0.00485536592858546,-0.00386735018504542,1.74294458195909,1.0159459187692,370.5,176,1745.00746011096
"21","principal_s2","indoor",FALSE,"pm25",-0.00548745845205295,-0.00532835863275089,4.60251,4.3063,223.2,120,2544.12635
"22","principal_s2","indoor",TRUE,"pm25",-0.0069826003531113,-0.00386525940242183,1.9751640853722,1.35170468687976,370.5,198,1857.30087884071
"23","principal_s2","indoor",FALSE,"pm10",-0.0126706307473262,-0.0106774865566418,7.61039285714286,5.5058,154.285714285714,84,3148.70875
"24","principal_s2","indoor",TRUE,"pm10",-0.0124497825417683,-0.00611550224549695,3.38212287558015,2.12491827766176,296.4,220,3178.49807149845
"25","superintendent_assist","indoor",FALSE,"pm1",-0.00584228516846375,-0.00461493995270657,3.53534,3.4599,131.866666666667,100,2052.3001
"26","superintendent_assist","indoor",TRUE,"pm1",-0.00610592302059216,-0.00331912994834336,1.61801677644487,1.1027358142268,244.882352941176,159,1686.58580164399
"27","superintendent_assist","indoor",FALSE,"pm25",-0.00550097100782868,-0.00431553585561919,3.6486,3.5085,141.285714285714,100,2041.8509
"28","superintendent_assist","indoor",TRUE,"pm25",-0.00592889079250249,-0.00392528781953721,1.73918161070701,1.17331180501612,238.611111111111,167.5,1877.30077072417
"29","superintendent_assist","indoor",FALSE,"pm10",-0.0134868119697828,-0.0107626584931173,5.44375714285714,5.4571,135.928571428571,100,2437.0653
"30","superintendent_assist","indoor",TRUE,"pm10",-0.00899526562878948,-0.00527764017272302,2.55409021624089,1.77606398715153,149.033333333333,132,3907.35922443944
