"","deployment","room","participant_id","environment","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"24","RH","classroom","business_s1","indoor",1426,1401,1501,3.53242630897125,-0.00699793416684736,5.88917624471206e-06,212.511210223428,FALSE,100
"25","RH","classroom","business_s1","indoor",1526,1501,1576,3.05380209321042,-0.00375001770216933,5.79783190146463e-06,143.931592610256,FALSE,75
"26","RH","classroom","business_s1","indoor",1626,1576,1651,2.62688309008286,-0.00908388919449301,4.01220477091501e-07,61.3287474812809,FALSE,75
"27","RH","classroom","business_s1","indoor",1976,1901,2001,3.26394769234708,-0.0122010844567975,1.86384661615246e-06,73.6164007269844,FALSE,100
"28","RH","classroom","business_s1","indoor",2026,2001,2051,2.88317474090857,-0.00222582474915083,3.41739117354219e-06,72.9332242276489,FALSE,50
"29","RH","classroom","business_s1","indoor",2076,2051,2201,3.98481263444062,-0.00330825020406842,1.44320621218323e-07,393.200787881651,FALSE,150
"30","RH","classroom","business_s1","indoor",2226,2201,2251,2.73160571299236,-0.004492314435515,5.865027947488e-09,67.2448384284421,FALSE,50
"31","RH","classroom","business_s1","indoor",2276,2251,2351,3.09326932811357,-0.0051567256715756,1.06169073685367e-06,199.772616496869,FALSE,100
"32","RH","classroom","business_s1","indoor",2376,2351,2401,2.79241830847482,-0.00872646177565979,3.42504479329318e-07,65.4567338670261,FALSE,50
"33","RH","classroom","business_s1","indoor",2501,2451,2526,3.50297207947046,-0.0152494567296434,5.80274702948508e-06,76.4637137372798,FALSE,75
"34","RH","classroom","business_s1","indoor",2551,2526,2584,3.26461198451749,-0.0049023039398958,1.43899747660417e-06,102.03812043847,FALSE,58
"35","RH","classroom","business_s1","indoor",51,1,176,8.61362129498616,-0.00349970674322749,1.59677646563015e-06,653.993757349642,FALSE,175
"36","RH","classroom","business_s1","indoor",133,1,353,10.5751305446861,-0.0178863148365542,8.14480875255687e-06,668.144487019957,TRUE,352
"37","RH","classroom","business_s1","indoor",201,176,251,5.95141673947187,-0.00928397142851378,6.75380542225104e-06,233.809523957663,FALSE,75
"38","RH","classroom","business_s1","indoor",276,251,351,4.12651519090732,-0.00342496842636629,1.78054015319422e-06,287.548533930927,FALSE,100
"39","RH","classroom","business_s1","indoor",376,351,501,4.67080522263874,-0.0045062734321035,6.42246147663777e-06,393.405207051038,FALSE,150
