"","participant_id","environment","type","case","mean","median","q5","q25","q75","q95","sd"
"1","admin","indoor","pm1","off",3.72994862634257,3.106,1.00596,2.17,4.2128,9.95906,2.60752369535375
"2","admin","indoor","pm1","on",2.67582496028594,2.46125,0.91126,1.70095,3.473875,5.314145,1.30038884439748
"3","admin","indoor","pm1","redu",28.261077340635,20.7582099162911,9.41389319654857,21.6152073732719,17.5399971515382,46.6400945470757,50.1293565724986
"4","admin","indoor","pm10","off",5.40679485585076,3.9804,1.36968,2.8141,6.5161,14.10506,4.06389993244781
"5","admin","indoor","pm10","on",3.59913590150913,3.2085,1.564955,2.315075,4.38895,6.72306999999999,1.83162794631345
"6","admin","indoor","pm10","redu",33.4330967335581,19.392523364486,-14.2569797324923,17.7330229913649,32.6445266340296,52.3357575224778,54.9293049346764
"7","admin","indoor","pm25","off",4.4585031656303,3.6201,1.28406,2.6589,4.9774,12.27574,3.04498223221553
"8","admin","indoor","pm25","on",2.9499846604448,2.6966,1.24308,1.93055,3.768675,5.681945,1.32963003458893
"9","admin","indoor","pm25","redu",33.8346402176939,25.5103450180934,3.19143965235271,27.3929068411749,24.2842648772451,53.7140327181905,56.3337342161933
"10","admin","outdoor","pm1","off",4.86917492170282,4.12,0.5739,2.2356,6.5911,12.5795,3.54272716774797
"11","admin","outdoor","pm1","on",3.67479754299754,3.19975,1.09395,2.123625,4.7352,7.542415,2.21489398967726
"12","admin","outdoor","pm1","redu",24.5293586266888,22.3361650485437,-90.6168322007318,5.00872249060654,28.1576671572272,40.0420127986009,37.4805373148388
"13","admin","outdoor","pm10","off",9.73007648764644,8.9153,1.2742,5.2331,12.9799,22.5644,6.23132050410131
"14","admin","outdoor","pm10","on",7.23488228910729,6.0256,2.10786,4.012525,9.186025,16.806835,4.73881945674253
"15","admin","outdoor","pm10","redu",25.6441375533596,32.4128184132895,-65.426149741014,23.3241291012975,29.2288461390303,25.5161449008172,23.9516013720761
"16","admin","outdoor","pm25","off",7.35940977844798,6.653,0.7381,3.4642,9.6403,17.3838,5.08554036989016
"17","admin","outdoor","pm25","on",4.63545829238329,3.86405,1.50996,2.732325,5.6998,10.216665,2.75436635074117
"18","admin","outdoor","pm25","redu",37.0131786117111,41.9201863820833,-104.5739059748,21.1268113850239,40.875283964192,41.228816484313,45.8392589497689
"19","admin","ratio","pm1","off",1.51500073022552,0.7863585,0.3785749,0.5819662,1.042217,4.530457,3.76144862068833
"20","admin","ratio","pm1","on",0.845059919678542,0.76134925,0.381076005,0.573603225,0.996494525,1.60715895,0.426732057034684
"21","admin","ratio","pm1","redu",44.2204942335077,3.18038782565458,-0.660663187126247,1.43702074106708,4.3870398391122,64.525456261918,88.6551140247506
"22","admin","ratio","pm10","off",0.906620939230077,0.5627117,0.159956,0.3623622,0.8909775,2.320397,1.71970671316687
"23","admin","ratio","pm10","on",0.648467287240991,0.53609295,0.216107095,0.37915695,0.7421029,1.4390559,0.542070387234066
"24","admin","ratio","pm10","redu",28.4742653537559,4.73044189413514,-35.1040879991998,-4.63479634465183,16.7091312631351,37.9823409528628,68.4789049735211
"25","admin","ratio","pm25","off",1.14733067975787,0.64479535690058,0.2142285,0.4327663,0.9282164,3.674271,2.23077912856803
"26","admin","ratio","pm25","on",0.739123400624488,0.67722655,0.347799085,0.526861475,0.8663565,1.36635405,0.332063274350735
"27","admin","ratio","pm25","redu",35.5788689638744,-5.02968775322937,-62.3495870063974,-21.7427223422896,6.66438343472493,62.8129212570331,85.114470989161
"28","class1","indoor","pm1","off",3.516621197411,2.95345,1.02138,2.00705,4.126175,9.12977999999999,2.39952978481537
"29","class1","indoor","pm1","on",2.49038365724382,2.2624,0.417875,1.460675,3.466425,5.06625,1.40793046514668
"30","class1","indoor","pm1","redu",29.1824874661712,23.3980598960538,59.0872153361139,27.2227896664258,15.9893848418935,44.5085204681821,41.3247347852774
"31","class1","indoor","pm10","off",5.21706616878267,3.93135,1.69081,2.87745,5.85805,14.11932,3.94323422868478
"32","class1","indoor","pm10","on",2.79672205167845,2.53515,0.653725,1.753075,3.726525,5.620775,1.47238660709539
"33","class1","indoor","pm10","redu",46.3928200026833,35.5145179136938,61.3365783263643,39.0753966185338,36.3862548117548,60.1908944623395,62.6604324849734
"34","class1","indoor","pm25","off",4.25938086880757,3.522,1.494455,2.55035,4.867375,11.75784,2.82271187008256
"35","class1","indoor","pm25","on",2.65309407022968,2.3975,0.529375,1.630575,3.6177,5.4355,1.45076096459182
"36","class1","indoor","pm25","redu",37.7117437499214,31.9278818852925,64.5773877433579,36.0646577920678,25.6745165515293,53.7712709137052,48.6040009974739
"37","class1","outdoor","pm1","off",4.51326195693719,3.7964,0.57916,2.1107,6.1334,12.06702,3.36087482915047
"38","class1","outdoor","pm1","on",3.69616580564406,3.21,1.1005,2.10985,4.73755,7.629585,2.26206298300011
"39","class1","outdoor","pm1","redu",18.1043369316775,15.4462122010326,-90.0165757303681,0.0402710001421443,22.7581765415593,36.7732464187512,32.6942210587504
"40","class1","outdoor","pm10","off",9.48783149445789,8.5045,1.23514,4.914,12.6269,22.63806,6.27367287092583
"41","class1","outdoor","pm10","on",7.16124062357761,6.0275,2.086445,4.020975,8.9857,16.524685,4.68776053264783
"42","class1","outdoor","pm10","redu",24.5218401300583,29.1257569522018,-68.9237657269621,18.1730769230769,28.836848315897,27.0048537728055,25.2788497409167
"43","class1","outdoor","pm25","off",7.0150306790674,6.2248,0.73626,3.1954,9.1772,16.86186,5.04362466400099
"44","class1","outdoor","pm25","on",4.60959452662722,3.88935,1.50674,2.72635,5.655025,10.217705,2.73511813769366
"45","class1","outdoor","pm25","redu",34.2897452981626,37.5184744891402,-104.647814630701,14.6789134380672,38.379625593863,39.4034525254035,45.7707835157591
"46","class1","ratio","pm1","off",1.90985561693272,0.764889921959928,0.390515939375313,0.578923426838514,1.04123300718677,4.59438810477617,6.26626031826147
"47","class1","ratio","pm1","on",0.746367823182749,0.6953377,0.231600415,0.49358565,0.91375985,1.46775705,0.398298257572569
"48","class1","ratio","pm1","redu",60.9201964501675,9.09310215275287,40.693735735735,14.7407710385018,12.242519811313,68.0532637529214,93.6437645845669
"49","class1","ratio","pm10","off",1.07178414502948,0.532513181019332,0.194691386073081,0.357165954083282,0.839272876656054,2.90371999175147,2.77413761628812
"50","class1","ratio","pm10","on",0.481480902044834,0.44761535,0.11312568,0.280344275,0.614560125,0.982199984999999,0.290182605416002
"51","class1","ratio","pm10","redu",55.0766911156732,15.9428600165016,41.8948715288636,21.5086791462126,26.7746948467327,66.1744249517821,89.5397184439511
"52","class1","ratio","pm25","off",1.4064966208023,0.6247716,0.244801220542318,0.439027834658457,0.889021252263414,4.24460542406745,3.6174926881382
"53","class1","ratio","pm25","on",0.636285157886891,0.60290185,0.20280257,0.436780775,0.776129025,1.21034885,0.313333332523883
"54","class1","ratio","pm25","redu",54.7609892212937,3.50043920050142,17.1562259572384,0.511826239947887,12.6984846510693,71.4850091097474,91.3383838051337
"55","class2","indoor","concent","off",8309.02279901483,6858.53333333333,1336.6336,3804.367,12274.07,18546.22,5553.95107184769
"56","class2","indoor","concent","on",2741.67090069606,2458.033,1428.8653,1788.7835,3366.2165,4828.5003,1274.58407480604
"57","class2","indoor","concent","redu",67.0036902411541,64.1609527790198,-6.90029788268077,52.9807849768437,72.574569804474,73.9650435506535,77.0508587793156
"58","class2","indoor","pm1","off",3.11531373668134,2.65274623759707,0.617852685,1.45676275,3.92930329083564,8.24283077879978,2.3192779730848
"59","class2","indoor","pm1","on",1.81365574693276,1.677644,0.595461075,1.19500275,2.2322815,3.487271,1.05257834595623
"60","class2","indoor","pm1","redu",41.7825650887796,36.7582177208306,3.62410175493532,17.9686088211687,43.1888725615461,57.6932840964161,54.6161194056342
"61","class2","indoor","pm10","off",5.68160457125515,3.3498905,0.927572685,2.10538425,6.50451677250443,18.3463023611332,6.00464656068123
"62","class2","indoor","pm10","on",3.98106073354662,2.504227,1.179028,1.796214,4.56694875,12.0445125,3.84406133320233
