"","participant_id","pm","environment","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"1","admin","pm1","indoor",FALSE,-0.00171619883065299,-0.00138530799175986,-0.00485338149481272,8.61805758246048e-05,5.20617606381992,3.35797202118815,3.09004714246232,12.4657464321495,1258.4,660,352,4048,28192.081110172,5,32991.3956
"2","admin","pm1","indoor",TRUE,-0.00148443268337244,-0.00154892169443086,-0.00321532036460015,-0.000177650472029761,4.10705023742896,3.956031577771,2.72006055948296,5.65854480422974,1142.85714285714,1200,500,1500,23152.5074313402,7,26950.909
"3","admin","pm25","indoor",FALSE,-0.00132503866351857,-0.00115642280180275,-0.00289179344683472,-0.000145006533645382,5.73582189545037,4.03369554842446,3.63788946954289,13.3144847009526,664,528,264,1584,35654.1357106377,11,39435.4605
"4","admin","pm25","indoor",TRUE,-0.00138941555531319,-0.00120715803464625,-0.00267910161929126,-0.000519003803099231,4.19479630421976,3.66897587491663,2.92478423639272,6.23494049224978,962.5,1050,200,1500,25647.3403274663,8,29712.2455
"5","admin","pm10","indoor",FALSE,-0.00298129507756181,-0.00277389939361716,-0.00531376693270317,-0.0014619926230536,10.583479063419,9.47116126435714,5.34627462488448,17.3913610714285,836,704,352,1584,34524.6827723312,6,47823.1005
"6","admin","pm10","indoor",TRUE,-0.00156722609193433,-0.00123677707737996,-0.00427564261843818,-0.000410766475505963,4.51959211608252,4.41702029633227,2.97174305730652,6.46904977999194,937.5,900,300,1500,27891.2810832936,8,36250.4968
"7","class1","pm1","indoor",FALSE,-0.00203335039022307,-0.0019811465217397,-0.0043174931562907,-0.000179973876803065,4.54342040104219,3.13408364255103,2.76815962797889,13.1389459724012,794.125,496.5,160,3200,25436.0177132715,8,28252.5347
"8","class1","pm1","indoor",TRUE,-0.00279194233867076,-0.00305967457187805,-0.00538873738906936,-0.000515249569135514,4.51317845459404,4.95703840328231,3.14860086861321,5.72275083757731,1170,1260,810,1350,17430.6607527873,5,22552.9144
"9","class1","pm25","indoor",FALSE,-0.00228093810638727,-0.00225523702011159,-0.00435527629265683,-0.000675698761277695,6.93812185689487,4.91376658506016,3.73432748249503,14.2980709778423,830,920,480,1120,30340.1187101496,8,34219.8659
"10","class1","pm25","indoor",TRUE,-0.00237359407037203,-0.00171114212067931,-0.00494483262332257,-0.000500338771541219,4.74031235579782,5.30904266610721,3.27883526148684,5.8684346125055,1170,1260,810,1350,18481.5890478961,5,24026.4199
"11","class1","pm10","indoor",FALSE,-0.00304604349835117,-0.00278714673053049,-0.00454569249224618,-0.00160803491044488,9.67801169043664,7.00891042703819,4.80237396290532,19.2588615432932,834.285714285714,880,400,1120,34391.6560409483,7,41913.9096
"12","class1","pm10","indoor",TRUE,-0.00241314496120638,-0.0017486752066459,-0.00543422648666358,-0.000478692111197877,4.87255486393924,5.42563667163318,3.39203362881319,5.93265316939945,1098,1170,630,1350,18663.0785748333,5,25327.1149
"13","class3","pm1","indoor",FALSE,-0.00122590912569916,-0.000233893775565548,-0.00428539748166506,0.0002010316167544,4.38853429774773,3.11153400398347,2.78506251897239,9.88196480657144,595.428571428571,564,136,1156,14527.2926022759,7,19452.2326
"14","class3","pm1","indoor",TRUE,-0.00248223171824049,-0.00278174458466658,-0.00468595368818143,-0.000739344547772822,4.22863948337389,4.51279586871697,2.80952911192853,5.06584124714042,1242,1260,1080,1440,17283.844117022,5,21277.643
"15","class3","pm25","indoor",FALSE,-0.00274217506973009,-0.00336266576096073,-0.00444662590500175,-0.000610182138467167,6.58986323247004,5.24842494774413,3.49878939376659,10.9177146587337,639.2,612,204,1088,14502.9692936623,5,24411.0209
"16","class3","pm25","indoor",TRUE,-0.00210706480063495,-0.0025535401270421,-0.00357968983257408,-0.000725390863161184,4.45372831662986,4.63195447994259,2.96031804698767,5.41892263735536,1170,1260,720,1440,18454.1760144442,5,23460.3896
"17","class3","pm10","indoor",FALSE,-0.00554658662857244,-0.00565482023874152,-0.00866075153309452,-0.00221595450371221,12.6733555341427,12.7602669955121,5.26708841087175,19.9057997346747,663,680,204,1088,20973.4737113037,4,35394.8801
"18","class3","pm10","indoor",TRUE,-0.00242167973051417,-0.00198636126705122,-0.00551878714779408,-0.000414171523588067,4.28651027651418,4.03958455134439,3.05509193644549,6.2188687656127,639,495,270,1080,21365.5430339935,10,27066.8788
