"","deployment","room","participant_id","environment","pm","peak_idx","valley_idx_b","valley_idx_a","peak_hgt","k_val","conv_tol","cumm_pm","hepa","peak_width"
"37","LF","daycare","admin","indoor","pm10",3501,3001,3601,4.62716897664126,-0.00427564261843818,9.11120069177584e-06,1843.15739206255,TRUE,600
"38","LF","daycare","admin","indoor","pm10",3801,3601,4701,4.20687161602327,-0.000442518686197309,4.97000280337228e-07,3895.50569874049,TRUE,1100
"39","LF","daycare","admin","indoor","pm10",5301,5001,6201,5.64736808067583,-0.000783832720863416,9.44989778826504e-07,4858.15707559728,TRUE,1200
"40","LF","daycare","admin","indoor","pm10",6777,6601,7129,10.3097331499862,-0.00531376693270317,3.49305485146876e-06,2476.3334746788,FALSE,528
"41","LF","daycare","admin","indoor","pm10",7101,6201,7701,5.71686018244481,-0.00105623525179297,3.97527147995373e-07,5983.51709290933,TRUE,1500
"42","LF","daycare","admin","indoor","pm10",7657,7481,7833,7.45378334679201,-0.00306552300406828,5.12819474429188e-06,1811.64217927807,FALSE,352
"43","LF","daycare","admin","indoor","pm10",7801,7701,8001,3.37110775594506,-0.00225151605808909,1.35458289505589e-06,849.843810907547,TRUE,300
"44","LF","daycare","admin","indoor","pm10",8009,7833,8185,5.34627462488448,-0.00258886719344907,1.40488888490449e-07,1580.92404186194,FALSE,352
"45","LF","daycare","admin","indoor","pm10",8301,8001,8601,3.14656747963144,-0.00189997802162073,8.11287979004564e-08,1532.27332430805,TRUE,600
"46","LF","daycare","class1","indoor","pm1",721,91,1351,4.95703840328231,-0.00305967457187805,6.15305383431322e-06,3798.74045868384,TRUE,1260
"47","LF","daycare","class1","indoor","pm1",2721,1,3201,13.1389459724012,-0.0043174931562907,9.73579901224491e-06,17373.0567721907,FALSE,3200
"48","LF","daycare","class1","indoor","pm1",3241,2791,4051,3.55242407282924,-0.000515249569135514,1.58696719722858e-06,3702.44352135767,TRUE,1260
"49","LF","daycare","class1","indoor","pm1",3841,3521,4241,3.08945731263188,-0.00349988570569334,5.04053470136904e-06,1308.92112129747,FALSE,720
"50","LF","daycare","class1","indoor","pm1",4681,4321,5491,5.72275083757731,-0.000946894857257138,5.05544487772823e-06,4583.90569282283,TRUE,1170
"51","LF","daycare","class1","indoor","pm1",5201,4881,5681,5.04511445298146,-0.00249791046123518,7.89920606894192e-06,2181.4349576936,FALSE,800
"52","LF","daycare","class1","indoor","pm1",5921,5841,6001,2.76815962797889,-0.00366418506714409,1.36139482481761e-06,349.918028019324,FALSE,160
"53","LF","daycare","class1","indoor","pm1",6301,5491,6841,5.18507809066815,-0.00538873738906936,5.78255176084109e-06,3919.87454491675,TRUE,1350
"54","LF","daycare","class1","indoor","pm1",6881,6561,7041,3.33772139646626,-0.00146438258224422,1.50757442729608e-07,1276.67565688261,FALSE,480
"55","LF","daycare","class1","indoor","pm1",7201,7041,7281,2.82555954339957,-0.000343950514492751,2.30957157511939e-07,663.879177932225,FALSE,240
"56","LF","daycare","class1","indoor","pm1",7361,7281,7521,2.96369493000804,-0.000179973876803065,4.66512402403716e-06,699.038764736458,FALSE,240
"57","LF","daycare","class1","indoor","pm1",7471,7201,8011,3.14860086861321,-0.0040491553060137,1.96347131640548e-06,1425.69653500624,TRUE,810
"58","LF","daycare","class1","indoor","pm1",7921,7521,8034,3.17870997247019,-0.000299021757881232,3.05959096114531e-08,1583.0932345191,FALSE,513
"59","LF","daycare","class1","indoor","pm25",321,1,1041,5.43363258596713,-0.000675698761277695,2.1422868228786e-07,5050.20466259153,FALSE,1040
"60","LF","daycare","class1","indoor","pm25",451,91,1351,5.54045656304144,-0.00171114212067931,7.0378710900176e-06,4238.51716565796,TRUE,1260
"61","LF","daycare","class1","indoor","pm25",1521,1041,2081,14.2980709778423,-0.00282220112285947,7.27605886469519e-07,7620.77589110685,FALSE,1040
"62","LF","daycare","class1","indoor","pm25",2721,2081,3201,13.6866268384303,-0.00435527629265683,8.11484857425315e-06,8025.6447154131,FALSE,1120
"63","LF","daycare","class1","indoor","pm25",3241,2791,4051,3.70479267584811,-0.000500338771541219,2.05303022431359e-06,3890.87029814416,TRUE,1260
"64","LF","daycare","class1","indoor","pm25",3841,3201,4241,4.09474029403807,-0.00240247949097992,6.28506993551646e-07,2278.64024810904,FALSE,1040
"65","LF","daycare","class1","indoor","pm25",4681,4321,5491,5.8684346125055,-0.000937582293161777,5.14462083994689e-06,4723.02127692658,TRUE,1170
"66","LF","daycare","class1","indoor","pm25",4721,4241,5041,4.43004350626576,-0.00210799454924326,5.35743600631581e-07,2596.6450997776,FALSE,800
"67","LF","daycare","class1","indoor","pm25",5201,5041,5681,5.27847932467456,-0.00248677223673978,6.56674454720188e-06,1948.92159582193,FALSE,640
"68","LF","daycare","class1","indoor","pm25",5921,5841,6321,4.54905384544576,-0.00207828309944651,8.08741292006313e-07,1405.52633242646,FALSE,480
"69","LF","daycare","class1","indoor","pm25",6301,5491,6841,5.30904266610721,-0.00494483262332257,9.01102845897352e-07,4098.01230986557,TRUE,1350
"70","LF","daycare","class1","indoor","pm25",6881,6561,7041,3.73432748249503,-0.00131879929789472,2.96194253891419e-07,1413.76016490313,FALSE,480
"71","LF","daycare","class1","indoor","pm25",7471,7201,8011,3.27883526148684,-0.00377407454315528,7.16991965758049e-07,1531.16799730178,TRUE,810
"72","LF","daycare","class1","indoor","pm10",321,1,801,11.251109450234,-0.00253281682124357,8.92343737044975e-06,5958.38111799857,FALSE,800
"73","LF","daycare","class1","indoor","pm10",451,91,1351,5.87844730781211,-0.0017486752066459,3.92525759522664e-06,4433.96315804679,TRUE,1260
"74","LF","daycare","class1","indoor","pm10",1521,1041,2081,19.2588615432932,-0.00365575044952457,2.20770678469488e-06,9416.72886767115,FALSE,1040
"75","LF","daycare","class1","indoor","pm10",2561,2081,3201,14.8490251099467,-0.00278714673053049,4.5760586064522e-06,8916.37423017427,FALSE,1120
"76","LF","daycare","class1","indoor","pm10",3241,2701,4051,3.73400354203826,-0.000478692111197877,2.61720810611092e-06,4070.85137981232,TRUE,1350
"77","LF","daycare","class1","indoor","pm10",3841,3201,4161,4.80237396290532,-0.00269458746214721,9.3526760848662e-07,2521.2531623547,FALSE,960
"78","LF","daycare","class1","indoor","pm10",4561,4161,5041,5.19977004254879,-0.00160803491044488,2.94278264127396e-06,3319.96927212438,FALSE,880
"79","LF","daycare","class1","indoor","pm10",4681,4321,5491,5.93265316939945,-0.000930583604941871,5.90449259115268e-06,4798.18906689965,TRUE,1170
"80","LF","daycare","class1","indoor","pm10",5201,5041,5441,5.37603129709024,-0.00349827562232131,3.94091589380332e-06,1488.93291137192,FALSE,400
"81","LF","daycare","class1","indoor","pm10",6001,5681,6321,7.00891042703819,-0.00454569249224618,8.15500411277039e-06,2770.01647925335,FALSE,640
"82","LF","daycare","class1","indoor","pm10",6301,5491,6571,5.42563667163318,-0.00543422648666358,3.08804152832907e-06,3884.00612146595,TRUE,1080
"83","LF","daycare","class1","indoor","pm10",7471,7201,7831,3.39203362881319,-0.00347354739658267,7.09959340500085e-07,1476.06884860858,TRUE,630
"84","LF","daycare","class3","indoor","pm1",341,273,409,2.84423688924802,-6.44765609553745e-05,1.27698298859225e-06,385.61822370825,FALSE,136
"85","LF","daycare","class3","indoor","pm1",811,181,1441,4.84431688069769,-0.00278174458466658,3.40112927922553e-06,3715.01032131806,TRUE,1260
"86","LF","daycare","class3","indoor","pm1",1021,409,1361,5.79500353628124,-0.00222528322290901,8.58627495668264e-06,3694.53307016651,FALSE,952
"87","LF","daycare","class3","indoor","pm1",1973,1361,2517,9.88196480657144,-0.00428539748166506,1.97123001079967e-06,5263.03923518937,FALSE,1156
"88","LF","daycare","class3","indoor","pm1",3781,3151,4591,3.91071430838587,-0.000739344547772822,7.32613528318289e-06,4297.46149225192,TRUE,1440
"89","LF","daycare","class3","indoor","pm1",4421,4149,4829,3.31263771087087,-0.00175031162210219,5.55645917488283e-08,1634.63436445654,FALSE,680
