"","participant_id","prop_on"
"1","105",1
"2","206",0.441297208538588
"3","303",0.881063394683027
"4","405",0.906306306306306
"5","502",1
"6","510",0.0182987141444115
"7","513",0.682116647354191
"8","515",0.629988376598218
"9","606",0.902571041948579
"10","613",0.544611819235226
