"","participant_id","environment","room","type","case","mean","median","q5","q25","q75","q95","sd"
"1","105","indoor","living","pm1","after",1.99928976764969,1.577,0.556,1.03,2.296,3.82945,3.58736817696266
"2","105","indoor","living","pm1","before",3.92118601046309,3.438,1.795,2.59,4.775,7.483,2.00150287746338
"3","105","indoor","living","pm1","redu",49.0131362726765,54.13030831879,69.025069637883,60.2316602316602,51.9162303664922,48.8246692503007,-79.233725684629
"4","105","indoor","living","pm10","after",5.12501999553172,2.752,0.903,1.8145,4.58425,16.63975,9.25960641105535
"5","105","indoor","living","pm10","before",8.16977678744429,5.183,2.116,3.456,8.697,21.813,11.5046465915593
"6","105","indoor","living","pm10","redu",37.2685432066136,46.9033378352306,57.3251417769376,47.4971064814815,47.2892951592503,23.7163618025949,19.5142037839835
"7","105","indoor","living","pm25","after",2.34887611706881,1.843,0.68455,1.30575,2.708,4.4118,3.78692953225587
"8","105","indoor","living","pm25","before",4.38391552024801,3.853,1.975,2.898,5.293,8.213,2.43041510176612
"9","105","indoor","living","pm25","redu",46.4205889410951,52.1671424863743,65.3392405063291,54.9430641821946,48.8380880408086,46.2827225130891,-55.814104738899
"10","105","indoor","parents","pm1","after",1.67725002400384,1.421,0.5187,0.9265,2.027,3.381,1.4553922942839
"11","105","indoor","parents","pm1","before",3.21166691402523,2.675,1.163,1.9,4.237,6.715,1.79877013060743
"12","105","indoor","parents","pm1","redu",47.7763395488071,46.8785046728972,55.3998280309544,51.2368421052632,52.1595468491857,49.6500372300819,19.0895896301978
"13","105","indoor","parents","pm10","after",5.1849900144023,2.169,0.7857,1.457,3.834,19.3144,11.1568409602325
"14","105","indoor","parents","pm10","before",6.20698929290788,3.839,1.3888,2.378,6.126,18.2966,11.066318534811
"15","105","indoor","parents","pm10","redu",16.4652979130045,43.5009116957541,43.4259792626728,38.7300252312868,37.4142997061704,-5.56278215624768,-0.817999456068303
"16","105","indoor","parents","pm25","after",1.99112069131061,1.622,0.661,1.146,2.28,3.8072,2.01947959028179
"17","105","indoor","parents","pm25","before",3.60057553270434,2.925,1.2866,2.092,4.489,7.376,3.0247236779359
"18","105","indoor","parents","pm25","redu",44.6999327406108,44.5470085470085,48.6242810508316,45.2198852772467,49.2091779906438,48.3839479392625,33.23424532915
"19","206","indoor","living","pm1","after",7.06151141240734,5.8405,1.39055,3.5985,9.22925,17.1645,5.29408960076915
"20","206","indoor","living","pm1","before",10.695076125331,9.411,3.01845,6.04425,13.60525,23.37365,6.84123110285717
"21","206","indoor","living","pm1","redu",33.9741827953674,37.9396450961641,53.931653663304,40.4640774289614,32.1640543172672,26.5647427765882,22.6149574371472
"22","206","indoor","living","pm10","after",11.8064268435427,8.1865,2.1321,5.1,14.513,31.1415499999999,12.2392891058675
"23","206","indoor","living","pm10","before",16.4105248234775,12.376,4.678,8.092,18.6005,38.31775,18.0256599356924
"24","206","indoor","living","pm10","redu",28.0557631730826,33.8518099547511,54.4228302693459,36.9747899159664,21.9752157200075,18.7281351331956,32.1007433318288
"25","206","indoor","living","pm25","after",7.73537729223566,6.3685,1.5851,3.972,10.0905,18.6858,5.83364561435647
"26","206","indoor","living","pm25","before",11.7630452338923,10.187,3.43245,6.51675,14.72825,25.93635,7.88290330534383
"27","206","indoor","living","pm25","redu",34.2400106568657,37.4840482968489,53.8201576133665,39.0493727701692,31.4888055267937,27.9551671688576,25.9962302163235
