"","participant_id","environment","pm","hepa","k_val_mean","k_val_median","k_val_min","k_val_max","peak_hgt_mean","peak_hgt_median","peak_hgt_min","peak_hgt_max","peak_wdh_mean","peak_wdh_median","peak_wdh_min","peak_wdh_max","total_plume_area","n","total_exposure"
"48","513","indoor","pm10",TRUE,-0.0230011842638631,-0.0203348079374309,-0.0341325070797479,-0.0145362377744106,20.233,12.398,10.737,37.564,33.3333333333333,15,11,74,1448.291,3,19973.162
"49","611","indoor","pm1",FALSE,-0.0229728311646461,-0.0197662141576918,-0.0602827828768366,0.0059776657960592,24.932975,18.0765,10.88,68.157,92.625,51,11,596,43565.084,40,145695.341
"50","611","indoor","pm1",TRUE,-0.0284950330158547,-0.0227602707848555,-0.100241424520954,0.00460221514617067,22.3794905660377,13.098,6.378,272.961,87.6603773584906,41,12,547,45100.763,53,120870.497
"51","611","indoor","pm25",FALSE,-0.0244498546284274,-0.0195265151707175,-0.0602827828768366,-0.00478899511161209,26.3508947368421,20.372,11.85,68.157,82.5526315789474,48.5,11,370,33822.431,38,157155.867
"52","611","indoor","pm25",TRUE,-0.027681411651937,-0.0222640485555178,-0.100241424520954,-0.000306726649697905,24.90742,15.0665,7.336,272.961,76.06,37.5,11,394,42360.105,50,132237.973
"53","611","indoor","pm10",FALSE,-0.0204088505306076,-0.0164409189042249,-0.0602827828768366,-0.00216227436035766,29.479,27.404,15.04,68.157,66.5483870967742,43,11,352,27395.147,31,195351.662
"54","611","indoor","pm10",TRUE,-0.0282749223355062,-0.0227871169351554,-0.0902514226908133,-0.00248909493468006,30.3754736842105,18.7315,10.731,272.961,62.7105263157895,43.5,11,364,33827.463,38,184705.54
"55","612","indoor","pm1",FALSE,-0.0132198237443491,-0.00799489414840836,-0.061478226304605,-0.000757132688997305,24.8615294117647,16.793,11.068,114.459,150.529411764706,55,11,592,30116.261,17,94036.329
"56","612","indoor","pm1",TRUE,-0.0247030562058093,-0.0179622271774277,-0.0669783269461699,0.00443785861426626,14.857625,9.0575,6.393,52.682,48.5625,22.5,11,225,7092.13,16,34575.107
"57","612","indoor","pm25",FALSE,-0.0137522174134472,-0.00819897211127768,-0.061478226304605,-0.00209060350132634,24.7005,16.9875,11.727,114.459,112.222222222222,44,11,514,28683.049,18,100168.145
"58","612","indoor","pm25",TRUE,-0.0272433048075843,-0.0223772480516066,-0.0669783269461699,-0.00636507685829711,17.5574166666667,10.421,7.526,52.682,41.3333333333333,17,11,140,4777.965,12,36896.304
"59","612","indoor","pm10",FALSE,-0.0144163260502447,-0.00781126945934557,-0.061478226304605,-0.00235399026345184,30.296,21.018,15.259,114.459,88.4615384615385,60,12,340,21501.775,13,128484.478
"60","612","indoor","pm10",TRUE,-0.0350333515335655,-0.0297884782855339,-0.0669783269461699,-0.0132651746065878,26.3598333333333,22.8195,10.613,52.682,48.1666666666667,39.5,11,114,3657.675,6,52708.884
"61","613","indoor","pm1",FALSE,-0.0240152545801106,-0.0224088330163691,-0.0488327030542991,-0.00130167433761797,46.0684,45.911,19.139,80.82,124,55,30,355,11533.373,5,22711.082
"62","613","indoor","pm1",TRUE,-0.0295934979786092,-0.0247278449139563,-0.0760580665949531,-0.0038980584769339,50.15275,39.618,14.313,156.211,111.333333333333,78,36,288,17311.77,12,39607.735
"63","613","indoor","pm25",FALSE,-0.0246190851946879,-0.0241479138019469,-0.048686797358652,-0.0011424670637145,46.0684,45.911,19.139,80.82,118.4,55,25,349,11295.263,5,24700.407
"64","613","indoor","pm25",TRUE,-0.0290742639535947,-0.0254746772059834,-0.0762538029718575,-0.000199027726775005,50.15275,39.618,14.313,156.211,103.666666666667,72.5,30,276,16781.161,12,44534.459
"65","613","indoor","pm10",FALSE,-0.0257316758525116,-0.0243979148850584,-0.0479209608964052,-0.00063295050303359,46.0684,45.911,19.139,80.82,93.8,36,23,322,10889.041,5,30227.478
"66","613","indoor","pm10",TRUE,-0.028399560630436,-0.0253306020210371,-0.0764017165874914,-0.000199027726775005,50.15275,39.618,14.313,156.211,69.5,60,14,144,15722.061,12,63020.844
