"","sham_indoor_pm1","sham_indoor_pm25","sham_indoor_pm10","sham_indoor_pm1_num","sham_outdoor_pm1","sham_outdoor_pm25","sham_outdoor_pm10","sham_outdoor_pm1_num","sham_ratio_pm1","sham_ratio_pm25","sham_ratio_pm10","sham_ratio_pm1_num","hepa_indoor_pm1","hepa_indoor_pm25","hepa_indoor_pm10","hepa_indoor_pm1_num","hepa_outdoor_pm1","hepa_outdoor_pm25","hepa_outdoor_pm10","hepa_outdoor_pm1_num","hepa_ratio_pm1","hepa_ratio_pm25","hepa_ratio_pm10","hepa_ratio_pm1_num","redu_indoor_pm1","redu_indoor_pm25","redu_indoor_pm10","redu_indoor_pm1_num","redu_outdoor_pm1","redu_outdoor_pm25","redu_outdoor_pm10","redu_outdoor_pm1_num","redu_ratio_pm1","redu_ratio_pm25","redu_ratio_pm10","redu_ratio_pm1_num"
"mean",2.72085724043716,3.34213700234192,6.95571574941452,3.87401029826095,3.51250183365117,4.15783790523691,10.9677463693707,16.2699958980369,2.38045601904238,1.89096417409483,1.80612665414787,0.358933148070872,0.756580622630214,1.28687238076232,4.9749116942726,2.82243663939333,1.46838901952766,2.85489551170637,19.5186942030467,8.88412923014007,0.704035907680982,0.749178585410166,0.916253927943825,0.45143496751454,72.1932995459676,61.4955227789711,28.4773577084235,27.1443175909902,58.1953522284343,31.3370175371543,-77.9644928474643,45.395627105155,70.4243261774605,60.3811327748299,49.2696746465927,-25.771322582166
"50%",2.0215,2.485,3.6025,3.414,2.382,2.95,7.419,13.7065,1.23312116203363,1.10701706341535,0.683092849071162,0.266315397129628,0.349,0.504,0.764,1.289,1.363,2.379,10.984,8.547,0.235747303543914,0.204734219269103,0.0960867880666408,0.144767513188566,82.7355923818946,79.7183098591549,78.7925052047189,62.2437024018746,42.7791771620487,19.3559322033898,-48.05229815339,37.6427242549155,80.8820648933536,81.5057756528647,85.9335684457398,45.6405770192472
"5%",0.473,0.69,0.836,0.87,0.51,0.8138,1.5268,6.529,0.080762736040124,0.149184287070831,0.11055274780005,0.0637309199456595,0.062,0.154,0.187,0.55605,0.398,0.862,1.926,2.965,0.0812053115423902,0.0420532472771279,0.00572543559113977,0.0770526315789474,86.892177589852,77.6811594202899,77.6315789473684,36.0862068965517,21.9607843137255,-5.92283116244778,-26.1461881058423,54.5872262214734,-0.547994686616764,71.8112087386513,94.8210825103189,-20.9030587423604
"25%",0.98875,1.184,1.935,1.744,0.885,1.277,4.163,9.138,0.821353316565435,0.76265940474359,0.381800545687588,0.164937453925568,0.202,0.325,0.416,0.965,0.814,1.596,4.524,6.861,0.163363943934268,0.134664131812421,0.0315573327569437,0.113560352690787,79.5701643489254,72.5506756756757,78.5012919896641,44.6674311926605,8.02259887005651,-24.9804228660924,-8.67163103531107,24.9179251477347,80.1103933423695,82.3428215826309,91.7346025003417,31.1494448422646
"75%",3.4515,4.16225,6.66325,5.021,4.494,5.325,12.811,21.09525,1.75523715608933,1.5258953374926,1.24018932591171,0.492127183741336,0.546,0.825,2.69475,1.831,1.954,3.391,23.627,10.282,0.372093023255814,0.345809601301871,0.305332633315833,0.21094264996704,84.180790960452,80.1789897291129,59.5580234870371,63.5331607249552,56.5198041833556,36.3192488262911,-84.4274451643119,51.2591697183015,78.8009829916752,77.3372660099928,75.3801595501259,57.1365580004391
"95%",7.088,10.63045,19.81395,9.7628,10.9488,11.9188,29.5768,31.4295,8.8106831565075,6.07314782111064,5.23571907988431,0.921935035914785,2.49395,5.36485,23.7886,8.04239999999999,2.942,6.951,73.69,15.364,2.08692185007974,3.1763085399449,3.23395077391525,1.23548272176701,64.8144751693002,49.5331806273488,-20.0598568180499,17.6219936903349,73.1294753762969,41.680370507098,-149.147980849855,51.1159897548482,76.3137339862419,47.6991399928739,38.2329203577762,-34.0097375235458
