"","participant_id","pm","hepa","k_val_mean","k_val_median","peak_hgt_mean","peak_hgt_median","pv_peak_wdh_mean","pv_peak_wdh_median","total_peak_wdh_mean","total_peak_wdh_median","total_plume_area","abs_k_val","abs_k_val_mean"
"1","300","pm1",FALSE,-0.118600875951742,-0.0238590691980951,22.69,16.877,45.5,27.5,55.2142857142857,44,9767.751,0.0238590691980951,0.118600875951742
"2","300","pm1",TRUE,-0.0388215373367912,-0.0188272131227977,5.6283,5.001,24.3,11.5,33.1,20,1248.242,0.0188272131227977,0.0388215373367912
"3","300","pm25",FALSE,-0.0898458518636643,-0.0297459174688169,34.794625,17.6935,59.0625,50,81.3125,75.5,18145.818,0.0297459174688169,0.0898458518636643
"4","300","pm25",TRUE,-0.0419490252030845,-0.0174910617945572,7.56666666666667,6.921,33.3333333333333,33,44.5555555555556,52,1889.135,0.0174910617945572,0.0419490252030845
"5","300","pm10",FALSE,-0.752681241897802,-0.141025547618752,68.022641509434,23.757,23.7547169811321,11,32.3584905660377,13,47622.18,0.141025547618752,0.752681241897802
"6","300","pm10",TRUE,-0.642875792647289,-0.155275299541306,44.8306933333333,26.856,23.08,11,30.3733333333333,14,41454.887,0.155275299541306,0.642875792647289
"7","408","pm1",FALSE,-0.0188170639742912,-0.0176566512499444,13.9629696969697,8.39,59.1212121212121,39,138.69696969697,94,17779.369,0.0176566512499444,0.0188170639742912
"8","408","pm1",TRUE,-0.0336895114083017,-0.0334336574220737,18.6765925925926,6.829,48.4074074074074,30,65.3703703703704,36,14807.849,0.0334336574220737,0.0336895114083017
"9","408","pm25",FALSE,-0.0217342631805494,-0.0174964618338523,20.8929705882353,12.605,70.0882352941177,28.5,147.735294117647,101.5,29374.005,0.0174964618338523,0.0217342631805494
"10","408","pm25",TRUE,-0.0346281175923416,-0.0380553689431854,24.1670666666667,10.791,46.1,36,61.9666666666667,42.5,19494.355,0.0380553689431854,0.0346281175923416
"11","408","pm10",FALSE,-0.334778338468859,-0.0905306172091063,65.2000789473684,22.87,32.0921052631579,11,50.7236842105263,14,78304.556,0.0905306172091063,0.334778338468859
"12","408","pm10",TRUE,-0.658987490501486,-0.15289542531991,58.3955810810811,25.5455,22.7837837837838,11,31.7972972972973,14,51884.368,0.15289542531991,0.658987490501486
"13","502","pm1",FALSE,-0.0128596907783817,-0.0047435591205241,8.27142857142857,7.519,65.5428571428571,50,244.057142857143,171,15266.414,0.0047435591205241,0.0128596907783817
"14","502","pm1",TRUE,-0.0329926883638708,-0.0218395525942564,9.93447222222222,6.2475,37.3055555555556,12.5,100.972222222222,36.5,9815.155,0.0218395525942564,0.0329926883638708
"15","502","pm25",FALSE,-0.0106399365138088,-0.00560289760460884,10.2176285714286,8.321,60.5714285714286,45,215.914285714286,140,17027.171,0.00560289760460884,0.0106399365138088
"16","502","pm25",TRUE,-0.029887897017826,-0.0197735987405038,11.6251142857143,7.294,38.9142857142857,16,99.4285714285714,49,10321.136,0.0197735987405038,0.029887897017826
"17","502","pm10",FALSE,-0.262761402075573,-0.0804419431597004,32.6387027027027,23.0205,25.9594594594595,11,53.8513513513514,13,33948.856,0.0804419431597004,0.262761402075573
"18","502","pm10",TRUE,-0.308488725475855,-0.0750934511014806,33.1734047619048,19.161,26.5,11,45.9523809523809,14,18588.108,0.0750934511014806,0.308488725475855
"19","210","pm1",FALSE,-0.0124803063595111,-0.00952987663230443,31.6927368421053,48.959,143.421052631579,162,392.842105263158,388,49339.662,0.00952987663230443,0.0124803063595111
"20","210","pm1",TRUE,-0.0797623621062846,-0.0263674287042859,41.1467755102041,49.406,108.755102040816,95,211.142857142857,158,103025.466,0.0263674287042859,0.0797623621062846
"21","210","pm25",FALSE,-0.0127823327498365,-0.00970860328106423,35.1509047619048,49.14,148.380952380952,157,341.619047619048,361,60437.172,0.00970860328106423,0.0127823327498365
"22","210","pm25",TRUE,-0.126381976677235,-0.0271671529705638,42.608085106383,49.647,105.574468085106,93,213.702127659574,149,98218.516,0.0271671529705638,0.126381976677235
"23","210","pm10",FALSE,-0.21313793213804,-0.0190508674410996,72.2876666666667,68.057,75.6363636363636,55,161.787878787879,168,63050.309,0.0190508674410996,0.21313793213804
"24","210","pm10",TRUE,-0.18266928475861,-0.025702831525457,46.1462461538462,51.718,78.6153846153846,68,123.784615384615,106,136340.428,0.025702831525457,0.18266928475861
"25","105","pm1",FALSE,-0.014680758557128,-0.00768414793396245,11.652,10.985,83.0555555555556,64,104.722222222222,100.5,12692.159,0.00768414793396245,0.014680758557128
"26","105","pm1",TRUE,-0.0394264530237869,-0.0235251271366484,15.3979230769231,8.692,42.6923076923077,30,72.9230769230769,50,5737.122,0.0235251271366484,0.0394264530237869
"27","105","pm25",FALSE,-0.00924457945797444,-0.00901119609351127,15.3745294117647,12.789,77.3529411764706,75,106.882352941176,88,13468.08,0.00901119609351127,0.00924457945797444
"28","105","pm25",TRUE,-0.0299305921990381,-0.0228181225353395,22.466,12.766,46.6875,30.5,73.0625,43,11337.974,0.0228181225353395,0.0299305921990381
