"","x","y","r","case","participant_id","environment"
"102","pm1","pm10",0.557873212493763,"on","waterdept","indoor"
"103","pm1","concent",0.489271639904721,"on","waterdept","indoor"
"104","pm1","pm1num",0.714929418979645,"on","waterdept","indoor"
"105","pm25","pm10",0.727561253424897,"on","waterdept","indoor"
"106","pm25","concent",0.621250478470243,"on","waterdept","indoor"
"107","pm25","pm1num",0.675783252950262,"on","waterdept","indoor"
"108","pm10","concent",0.67778977238282,"on","waterdept","indoor"
"109","pm10","pm1num",0.363879026876248,"on","waterdept","indoor"
"110","concent","pm1num",0.393978617491153,"on","waterdept","indoor"
"111","pm1","pm25",0.991490432878202,"on","all","indoor"
"112","pm1","pm10",0.840542048888525,"on","all","indoor"
"113","pm1","concent",0.568876696961119,"on","all","indoor"
"114","pm1","pm1num",0.953805707529999,"on","all","indoor"
"115","pm25","pm10",0.887486350092448,"on","all","indoor"
"116","pm25","concent",0.599314004781885,"on","all","indoor"
"117","pm25","pm1num",0.953414474812489,"on","all","indoor"
"118","pm10","concent",0.647818186031709,"on","all","indoor"
"119","pm10","pm1num",0.817100720475739,"on","all","indoor"
"120","concent","pm1num",0.517694258926156,"on","all","indoor"
"121","pm1","pm25",0.963830264544776,"on","auditor","ratio"
"122","pm1","pm10",0.332307984576573,"on","auditor","ratio"
"123","pm1","concent",0.15468777875391,"on","auditor","ratio"
"124","pm1","pm1num",0.269019730076163,"on","auditor","ratio"
"125","pm25","pm10",0.38796845236449,"on","auditor","ratio"
"126","pm25","concent",0.137389361875827,"on","auditor","ratio"
"127","pm25","pm1num",0.324835224925778,"on","auditor","ratio"
"128","pm10","concent",-0.0104692318355133,"on","auditor","ratio"
"129","pm10","pm1num",0.114241771952003,"on","auditor","ratio"
"130","concent","pm1num",0.151317934667852,"on","auditor","ratio"
"131","pm1","pm25",0.956649088340164,"on","mainroom","ratio"
"132","pm1","pm10",0.604809905428008,"on","mainroom","ratio"
"133","pm1","concent",0.596492909072851,"on","mainroom","ratio"
"134","pm1","pm1num",0.808415648785323,"on","mainroom","ratio"
"135","pm25","pm10",0.682524542726291,"on","mainroom","ratio"
"136","pm25","concent",0.628077067126706,"on","mainroom","ratio"
"137","pm25","pm1num",0.852672636546427,"on","mainroom","ratio"
"138","pm10","concent",0.496926805448362,"on","mainroom","ratio"
"139","pm10","pm1num",0.659373415098243,"on","mainroom","ratio"
"140","concent","pm1num",0.718292778954255,"on","mainroom","ratio"
"141","pm1","pm25",0.913146694914573,"on","waterdept","ratio"
"142","pm1","pm10",0.37426050446913,"on","waterdept","ratio"
"143","pm1","concent",0.090691056330703,"on","waterdept","ratio"
"144","pm1","pm1num",0.300475358329669,"on","waterdept","ratio"
"145","pm25","pm10",0.613173602946164,"on","waterdept","ratio"
"146","pm25","concent",0.210291654374113,"on","waterdept","ratio"
