"","var1","var2","cor","p","case","participant_id"
"79","inlttmp_indoor","inlttmp_outdoor",1,0,"sham","42281"
"80","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","42281"
"81","inlttmp_ratio","inlttmp_outdoor",-0.52,0,"sham","42281"
"82","concent_indoor","inlttmp_ratio",-0.11,0,"sham","42281"
"83","concent_outdoor","inlttmp_ratio",-0.39,0,"sham","42281"
"84","inlttmp_indoor","inlttmp_ratio",-0.46,0,"sham","42281"
"85","inlttmp_outdoor","inlttmp_ratio",-0.52,0,"sham","42281"
"86","inlttmp_ratio","inlttmp_ratio",1,0,"sham","42281"
"87","concent_indoor","concent_indoor",1,0,"hepa","42281"
"88","concent_outdoor","concent_indoor",0.13,0,"hepa","42281"
"89","inlttmp_indoor","concent_indoor",-0.12,0,"hepa","42281"
"90","inlttmp_outdoor","concent_indoor",-0.12,0,"hepa","42281"
"91","inlttmp_ratio","concent_indoor",0.09,0,"hepa","42281"
"92","concent_indoor","concent_outdoor",0.13,0,"hepa","42281"
"93","concent_outdoor","concent_outdoor",1,0,"hepa","42281"
"94","inlttmp_indoor","concent_outdoor",-0.34,0,"hepa","42281"
"95","inlttmp_outdoor","concent_outdoor",-0.34,0,"hepa","42281"
"96","inlttmp_ratio","concent_outdoor",0.29,0,"hepa","42281"
"97","concent_indoor","inlttmp_indoor",-0.12,0,"hepa","42281"
"98","concent_outdoor","inlttmp_indoor",-0.34,0,"hepa","42281"
"99","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","42281"
"100","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","42281"
"101","inlttmp_ratio","inlttmp_indoor",-0.68,0,"hepa","42281"
"102","concent_indoor","inlttmp_outdoor",-0.12,0,"hepa","42281"
"103","concent_outdoor","inlttmp_outdoor",-0.34,0,"hepa","42281"
"104","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","42281"
"105","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","42281"
"106","inlttmp_ratio","inlttmp_outdoor",-0.7,0,"hepa","42281"
"107","concent_indoor","inlttmp_ratio",0.09,0,"hepa","42281"
"108","concent_outdoor","inlttmp_ratio",0.29,0,"hepa","42281"
"109","inlttmp_indoor","inlttmp_ratio",-0.68,0,"hepa","42281"
"110","inlttmp_outdoor","inlttmp_ratio",-0.7,0,"hepa","42281"
"111","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","42281"
"112","concent_indoor","concent_indoor",1,0,"sham","45361"
"113","concent_outdoor","concent_indoor",0.16,0,"sham","45361"
"114","inlttmp_indoor","concent_indoor",-0.17,0,"sham","45361"
"115","inlttmp_outdoor","concent_indoor",-0.17,0,"sham","45361"
"116","concent_ratio","concent_indoor",0.76,0,"sham","45361"
"117","inlttmp_ratio","concent_indoor",-0.065,0,"sham","45361"
"118","concent_indoor","concent_outdoor",0.16,0,"sham","45361"
"119","concent_outdoor","concent_outdoor",1,0,"sham","45361"
"120","inlttmp_indoor","concent_outdoor",-0.16,0,"sham","45361"
"121","inlttmp_outdoor","concent_outdoor",-0.17,0,"sham","45361"
"122","concent_ratio","concent_outdoor",-0.1,0,"sham","45361"
"123","inlttmp_ratio","concent_outdoor",0.028,1.11e-86,"sham","45361"
"124","concent_indoor","inlttmp_indoor",-0.17,0,"sham","45361"
"125","concent_outdoor","inlttmp_indoor",-0.16,0,"sham","45361"
"126","inlttmp_indoor","inlttmp_indoor",1,0,"sham","45361"
"127","inlttmp_outdoor","inlttmp_indoor",0.99,0,"sham","45361"
"128","concent_ratio","inlttmp_indoor",-0.032,3.77e-110,"sham","45361"
"129","inlttmp_ratio","inlttmp_indoor",0.17,0,"sham","45361"
"130","concent_indoor","inlttmp_outdoor",-0.17,0,"sham","45361"
"131","concent_outdoor","inlttmp_outdoor",-0.17,0,"sham","45361"
"132","inlttmp_indoor","inlttmp_outdoor",0.99,0,"sham","45361"
"133","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","45361"
"134","concent_ratio","inlttmp_outdoor",-0.033,4.37e-118,"sham","45361"
"135","inlttmp_ratio","inlttmp_outdoor",0.06,0,"sham","45361"
"136","concent_indoor","concent_ratio",0.76,0,"sham","45361"
"137","concent_outdoor","concent_ratio",-0.1,0,"sham","45361"
"138","inlttmp_indoor","concent_ratio",-0.032,3.77e-110,"sham","45361"
"139","inlttmp_outdoor","concent_ratio",-0.033,4.37e-118,"sham","45361"
"140","concent_ratio","concent_ratio",1,0,"sham","45361"
"141","inlttmp_ratio","concent_ratio",0.0056,9.2e-05,"sham","45361"
"142","concent_indoor","inlttmp_ratio",-0.065,0,"sham","45361"
"143","concent_outdoor","inlttmp_ratio",0.028,1.11e-86,"sham","45361"
"144","inlttmp_indoor","inlttmp_ratio",0.17,0,"sham","45361"
"145","inlttmp_outdoor","inlttmp_ratio",0.06,0,"sham","45361"
"146","concent_ratio","inlttmp_ratio",0.0056,9.2e-05,"sham","45361"
"147","inlttmp_ratio","inlttmp_ratio",1,0,"sham","45361"
"148","concent_indoor","concent_indoor",1,0,"hepa","45361"
"149","concent_outdoor","concent_indoor",0.043,7.7e-206,"hepa","45361"
"150","inlttmp_indoor","concent_indoor",0.1,0,"hepa","45361"
"151","inlttmp_outdoor","concent_indoor",0.099,0,"hepa","45361"
"152","concent_ratio","concent_indoor",0.88,0,"hepa","45361"
"153","inlttmp_ratio","concent_indoor",-0.042,1.28e-192,"hepa","45361"
"154","concent_indoor","concent_outdoor",0.043,7.7e-206,"hepa","45361"
"155","concent_outdoor","concent_outdoor",1,0,"hepa","45361"
"156","inlttmp_indoor","concent_outdoor",0.01,1.58e-13,"hepa","45361"
"157","inlttmp_outdoor","concent_outdoor",0.018,1.25e-37,"hepa","45361"
"158","concent_ratio","concent_outdoor",-0.093,0,"hepa","45361"
"159","inlttmp_ratio","concent_outdoor",-0.079,0,"hepa","45361"
"160","concent_indoor","inlttmp_indoor",0.1,0,"hepa","45361"
"161","concent_outdoor","inlttmp_indoor",0.01,1.58e-13,"hepa","45361"
"162","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","45361"
"163","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","45361"
"164","concent_ratio","inlttmp_indoor",0.12,0,"hepa","45361"
"165","inlttmp_ratio","inlttmp_indoor",-0.53,0,"hepa","45361"
"166","concent_indoor","inlttmp_outdoor",0.099,0,"hepa","45361"
"167","concent_outdoor","inlttmp_outdoor",0.018,1.25e-37,"hepa","45361"
"168","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","45361"
"169","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","45361"
"170","concent_ratio","inlttmp_outdoor",0.12,0,"hepa","45361"
"171","inlttmp_ratio","inlttmp_outdoor",-0.6,0,"hepa","45361"
"172","concent_indoor","concent_ratio",0.88,0,"hepa","45361"
"173","concent_outdoor","concent_ratio",-0.093,0,"hepa","45361"
"174","inlttmp_indoor","concent_ratio",0.12,0,"hepa","45361"
"175","inlttmp_outdoor","concent_ratio",0.12,0,"hepa","45361"
"176","concent_ratio","concent_ratio",1,0,"hepa","45361"
"177","inlttmp_ratio","concent_ratio",-0.046,6.23e-238,"hepa","45361"
"178","concent_indoor","inlttmp_ratio",-0.042,1.28e-192,"hepa","45361"
"179","concent_outdoor","inlttmp_ratio",-0.079,0,"hepa","45361"
"180","inlttmp_indoor","inlttmp_ratio",-0.53,0,"hepa","45361"
"181","inlttmp_outdoor","inlttmp_ratio",-0.6,0,"hepa","45361"
"182","concent_ratio","inlttmp_ratio",-0.046,6.23e-238,"hepa","45361"
"183","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","45361"
"184","concent_indoor","concent_indoor",1,0,"sham","44621"
"185","concent_outdoor","concent_indoor",0.22,0,"sham","44621"
"186","inlttmp_indoor","concent_indoor",-0.084,0,"sham","44621"
"187","inlttmp_outdoor","concent_indoor",-0.083,0,"sham","44621"
"188","concent_ratio","concent_indoor",0.93,0,"sham","44621"
"189","inlttmp_ratio","concent_indoor",-0.017,5.8e-38,"sham","44621"
"190","concent_indoor","concent_outdoor",0.22,0,"sham","44621"
"191","concent_outdoor","concent_outdoor",1,0,"sham","44621"
"192","inlttmp_indoor","concent_outdoor",0.035,1.39e-163,"sham","44621"
"193","inlttmp_outdoor","concent_outdoor",0.036,5.12e-170,"sham","44621"
"194","concent_ratio","concent_outdoor",-0.044,3.59e-259,"sham","44621"
"195","inlttmp_ratio","concent_outdoor",-0.023,1.96e-71,"sham","44621"
"196","concent_indoor","inlttmp_indoor",-0.084,0,"sham","44621"
"197","concent_outdoor","inlttmp_indoor",0.035,1.39e-163,"sham","44621"
"198","inlttmp_indoor","inlttmp_indoor",1,0,"sham","44621"
"199","inlttmp_outdoor","inlttmp_indoor",1,0,"sham","44621"
"200","concent_ratio","inlttmp_indoor",-0.097,0,"sham","44621"
"201","inlttmp_ratio","inlttmp_indoor",-0.092,0,"sham","44621"
"202","concent_indoor","inlttmp_outdoor",-0.083,0,"sham","44621"
"203","concent_outdoor","inlttmp_outdoor",0.036,5.12e-170,"sham","44621"
"204","inlttmp_indoor","inlttmp_outdoor",1,0,"sham","44621"
"205","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","44621"
"206","concent_ratio","inlttmp_outdoor",-0.096,0,"sham","44621"
"207","inlttmp_ratio","inlttmp_outdoor",-0.12,0,"sham","44621"
"208","concent_indoor","concent_ratio",0.93,0,"sham","44621"
"209","concent_outdoor","concent_ratio",-0.044,3.59e-259,"sham","44621"
"210","inlttmp_indoor","concent_ratio",-0.097,0,"sham","44621"
"211","inlttmp_outdoor","concent_ratio",-0.096,0,"sham","44621"
"212","concent_ratio","concent_ratio",1,0,"sham","44621"
"213","inlttmp_ratio","concent_ratio",-0.019,7.54e-49,"sham","44621"
"214","concent_indoor","inlttmp_ratio",-0.017,5.8e-38,"sham","44621"
"215","concent_outdoor","inlttmp_ratio",-0.023,1.96e-71,"sham","44621"
"216","inlttmp_indoor","inlttmp_ratio",-0.092,0,"sham","44621"
"217","inlttmp_outdoor","inlttmp_ratio",-0.12,0,"sham","44621"
"218","concent_ratio","inlttmp_ratio",-0.019,7.54e-49,"sham","44621"
"219","inlttmp_ratio","inlttmp_ratio",1,0,"sham","44621"
"220","concent_indoor","concent_indoor",1,0,"hepa","44621"
"221","concent_outdoor","concent_indoor",0.18,0,"hepa","44621"
"222","inlttmp_indoor","concent_indoor",0.084,0,"hepa","44621"
"223","inlttmp_outdoor","concent_indoor",0.093,0,"hepa","44621"
"224","concent_ratio","concent_indoor",0.78,0,"hepa","44621"
"225","inlttmp_ratio","concent_indoor",-0.15,0,"hepa","44621"
"226","concent_indoor","concent_outdoor",0.18,0,"hepa","44621"
"227","concent_outdoor","concent_outdoor",1,0,"hepa","44621"
"228","inlttmp_indoor","concent_outdoor",-0.11,0,"hepa","44621"
"229","inlttmp_outdoor","concent_outdoor",-0.11,0,"hepa","44621"
"230","concent_ratio","concent_outdoor",-0.073,0,"hepa","44621"
"231","inlttmp_ratio","concent_outdoor",-0.012,4.35e-19,"hepa","44621"
"232","concent_indoor","inlttmp_indoor",0.084,0,"hepa","44621"
"233","concent_outdoor","inlttmp_indoor",-0.11,0,"hepa","44621"
"234","inlttmp_indoor","inlttmp_indoor",1,0,"hepa","44621"
"235","inlttmp_outdoor","inlttmp_indoor",1,0,"hepa","44621"
"236","concent_ratio","inlttmp_indoor",0.097,0,"hepa","44621"
"237","inlttmp_ratio","inlttmp_indoor",-0.32,0,"hepa","44621"
"238","concent_indoor","inlttmp_outdoor",0.093,0,"hepa","44621"
"239","concent_outdoor","inlttmp_outdoor",-0.11,0,"hepa","44621"
"240","inlttmp_indoor","inlttmp_outdoor",1,0,"hepa","44621"
"241","inlttmp_outdoor","inlttmp_outdoor",1,0,"hepa","44621"
"242","concent_ratio","inlttmp_outdoor",0.1,0,"hepa","44621"
"243","inlttmp_ratio","inlttmp_outdoor",-0.39,0,"hepa","44621"
"244","concent_indoor","concent_ratio",0.78,0,"hepa","44621"
"245","concent_outdoor","concent_ratio",-0.073,0,"hepa","44621"
"246","inlttmp_indoor","concent_ratio",0.097,0,"hepa","44621"
"247","inlttmp_outdoor","concent_ratio",0.1,0,"hepa","44621"
"248","concent_ratio","concent_ratio",1,0,"hepa","44621"
"249","inlttmp_ratio","concent_ratio",-0.13,0,"hepa","44621"
"250","concent_indoor","inlttmp_ratio",-0.15,0,"hepa","44621"
"251","concent_outdoor","inlttmp_ratio",-0.012,4.35e-19,"hepa","44621"
"252","inlttmp_indoor","inlttmp_ratio",-0.32,0,"hepa","44621"
"253","inlttmp_outdoor","inlttmp_ratio",-0.39,0,"hepa","44621"
"254","concent_ratio","inlttmp_ratio",-0.13,0,"hepa","44621"
"255","inlttmp_ratio","inlttmp_ratio",1,0,"hepa","44621"
"256","concent_indoor","concent_indoor",1,0,"sham","45451"
"257","concent_outdoor","concent_indoor",0.17,0,"sham","45451"
"258","inlttmp_indoor","concent_indoor",-0.00028,0.856,"sham","45451"
"259","inlttmp_outdoor","concent_indoor",0.013,6.11e-17,"sham","45451"
"260","inlttmp_ratio","concent_indoor",-0.079,0,"sham","45451"
"261","concent_indoor","concent_outdoor",0.17,0,"sham","45451"
"262","concent_outdoor","concent_outdoor",1,0,"sham","45451"
"263","inlttmp_indoor","concent_outdoor",-0.28,0,"sham","45451"
"264","inlttmp_outdoor","concent_outdoor",-0.28,0,"sham","45451"
"265","inlttmp_ratio","concent_outdoor",0.031,4.25e-89,"sham","45451"
"266","concent_indoor","inlttmp_indoor",-0.00028,0.856,"sham","45451"
"267","concent_outdoor","inlttmp_indoor",-0.28,0,"sham","45451"
"268","inlttmp_indoor","inlttmp_indoor",1,0,"sham","45451"
"269","inlttmp_outdoor","inlttmp_indoor",0.99,0,"sham","45451"
"270","inlttmp_ratio","inlttmp_indoor",0.077,0,"sham","45451"
"271","concent_indoor","inlttmp_outdoor",0.013,6.11e-17,"sham","45451"
"272","concent_outdoor","inlttmp_outdoor",-0.28,0,"sham","45451"
"273","inlttmp_indoor","inlttmp_outdoor",0.99,0,"sham","45451"
"274","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","45451"
"275","inlttmp_ratio","inlttmp_outdoor",-0.082,0,"sham","45451"
"276","concent_indoor","inlttmp_ratio",-0.079,0,"sham","45451"
"277","concent_outdoor","inlttmp_ratio",0.031,4.25e-89,"sham","45451"
"278","inlttmp_indoor","inlttmp_ratio",0.077,0,"sham","45451"
"279","inlttmp_outdoor","inlttmp_ratio",-0.082,0,"sham","45451"
"280","inlttmp_ratio","inlttmp_ratio",1,0,"sham","45451"
"281","concent_indoor","concent_indoor",1,0,"hepa","45451"
"282","concent_outdoor","concent_indoor",0.3,0,"hepa","45451"
