timestamp,timestamp_local,sn,sample_rh,sample_temp,sample_pres,lat,lon,device_state,pm1,pm25,pm10
2023-03-01T23:21:58Z,2023-03-01T18:21:58Z,MOD-PM-00231,53.67,4.95,0.0,42.3161,-71.078,ACTIVE,3.017,3.624,12.411
2023-03-01T23:20:58Z,2023-03-01T18:20:58Z,MOD-PM-00231,53.51,4.94,0.0,42.3161,-71.078,ACTIVE,2.494,3.308,7.264
2023-03-01T23:19:58Z,2023-03-01T18:19:58Z,MOD-PM-00231,53.4,4.93,0.0,42.3161,-71.078,ACTIVE,2.907,4.166,11.901
2023-03-01T23:18:58Z,2023-03-01T18:18:58Z,MOD-PM-00231,53.25,4.92,0.0,42.3161,-71.078,ACTIVE,2.026,2.798,19.353
2023-03-01T23:17:58Z,2023-03-01T18:17:58Z,MOD-PM-00231,53.65,4.93,0.0,42.3161,-71.078,ACTIVE,2.676,3.358,9.76
2023-03-01T23:16:58Z,2023-03-01T18:16:58Z,MOD-PM-00231,53.47,4.94,0.0,42.3161,-71.078,ACTIVE,2.936,3.486,8.929
2023-03-01T23:15:58Z,2023-03-01T18:15:58Z,MOD-PM-00231,53.43,4.94,0.0,42.3161,-71.078,ACTIVE,2.373,3.11,4.85
2023-03-01T23:14:58Z,2023-03-01T18:14:58Z,MOD-PM-00231,53.06,4.94,0.0,42.3161,-71.078,ACTIVE,2.562,3.185,3.714
2023-03-01T23:13:58Z,2023-03-01T18:13:58Z,MOD-PM-00231,53.39,4.93,0.0,42.3161,-71.078,ACTIVE,2.508,3.231,8.213
2023-03-01T23:12:58Z,2023-03-01T18:12:58Z,MOD-PM-00231,53.01,4.94,0.0,42.3161,-71.078,ACTIVE,3.271,4.34,9.123
2023-03-01T23:11:58Z,2023-03-01T18:11:58Z,MOD-PM-00231,53.46,4.94,0.0,42.3161,-71.078,ACTIVE,2.529,3.185,14.717
2023-03-01T23:10:58Z,2023-03-01T18:10:58Z,MOD-PM-00231,53.17,4.94,0.0,42.3161,-71.078,ACTIVE,3.025,3.638,24.733
2023-03-01T23:09:58Z,2023-03-01T18:09:58Z,MOD-PM-00231,52.88,4.93,0.0,42.3161,-71.078,ACTIVE,2.838,3.912,24.605
2023-03-01T23:08:58Z,2023-03-01T18:08:58Z,MOD-PM-00231,53.04,4.93,0.0,42.3161,-71.078,ACTIVE,2.452,3.147,9.459
2023-03-01T23:07:58Z,2023-03-01T18:07:58Z,MOD-PM-00231,52.7,4.93,0.0,42.3161,-71.078,ACTIVE,1.966,2.923,5.849
2023-03-01T23:06:58Z,2023-03-01T18:06:58Z,MOD-PM-00231,53.13,4.94,0.0,42.3161,-71.078,ACTIVE,2.389,3.121,8.034
2023-03-01T23:05:58Z,2023-03-01T18:05:58Z,MOD-PM-00231,53.09,4.93,0.0,42.3161,-71.078,ACTIVE,2.403,3.352,5.207
2023-03-01T23:04:58Z,2023-03-01T18:04:58Z,MOD-PM-00231,52.98,4.94,0.0,42.3161,-71.078,ACTIVE,2.195,2.925,3.754
2023-03-01T23:03:58Z,2023-03-01T18:03:58Z,MOD-PM-00231,53.07,4.94,0.0,42.3161,-71.078,ACTIVE,3.095,3.836,4.573
2023-03-01T23:02:58Z,2023-03-01T18:02:58Z,MOD-PM-00231,53.15,4.93,0.0,42.3161,-71.078,ACTIVE,2.67,3.287,6.22
2023-03-01T23:01:58Z,2023-03-01T18:01:58Z,MOD-PM-00231,52.86,4.93,0.0,42.3161,-71.078,ACTIVE,2.062,2.664,5.513
2023-03-01T23:00:58Z,2023-03-01T18:00:58Z,MOD-PM-00231,52.78,4.94,0.0,42.3161,-71.078,ACTIVE,2.614,3.663,6.053
2023-03-01T22:59:58Z,2023-03-01T17:59:58Z,MOD-PM-00231,52.97,4.94,0.0,42.3161,-71.078,ACTIVE,1.84,2.85,4.812
2023-03-01T22:58:58Z,2023-03-01T17:58:58Z,MOD-PM-00231,53.32,4.94,0.0,42.3161,-71.078,ACTIVE,1.757,2.693,10.655
2023-03-01T22:57:58Z,2023-03-01T17:57:58Z,MOD-PM-00231,53.41,4.94,0.0,42.3161,-71.078,ACTIVE,2.01,3.202,8.825
