"","var1","var2","cor","p","case","participant_id"
"75","temp_ratio","pm25_outdoor",-0.1,3.28e-17,"sham","41181"
"76","pm1_indoor","pm25_ratio",0.6,0,"sham","41181"
"77","pm1_outdoor","pm25_ratio",-0.21,1.62e-65,"sham","41181"
"78","pm1_ratio","pm25_ratio",0.96,0,"sham","41181"
"79","pm25_indoor","pm25_ratio",0.49,0,"sham","41181"
"80","pm25_outdoor","pm25_ratio",-0.22,2.04e-74,"sham","41181"
"81","pm25_ratio","pm25_ratio",1,0,"sham","41181"
"82","pm10_indoor","pm25_ratio",0.12,2.26e-23,"sham","41181"
"83","pm10_outdoor","pm25_ratio",-0.05,3.7e-05,"sham","41181"
"84","pm10_ratio","pm25_ratio",0.19,8.81e-54,"sham","41181"
"85","pm1num_indoor","pm25_ratio",0.23,1.85e-84,"sham","41181"
"86","pm1num_outdoor","pm25_ratio",-0.09,9.17e-14,"sham","41181"
"87","pm1num_ratio","pm25_ratio",0.24,1.57e-87,"sham","41181"
"88","temp_indoor","pm25_ratio",0.19,2.18e-53,"sham","41181"
"89","temp_outdoor","pm25_ratio",0.062,2.63e-07,"sham","41181"
"90","temp_ratio","pm25_ratio",-0.046,0.000161,"sham","41181"
"91","pm1_indoor","pm10_indoor",0.18,5.79e-53,"sham","41181"
"92","pm1_outdoor","pm10_indoor",0.12,1.93e-22,"sham","41181"
"93","pm1_ratio","pm10_indoor",0.057,2.85e-06,"sham","41181"
"94","pm25_indoor","pm10_indoor",0.37,2.28e-225,"sham","41181"
"95","pm25_outdoor","pm10_indoor",0.12,2.78e-23,"sham","41181"
"96","pm25_ratio","pm10_indoor",0.12,2.26e-23,"sham","41181"
"97","pm10_indoor","pm10_indoor",1,0,"sham","41181"
"98","pm10_outdoor","pm10_indoor",-0.015,0.203,"sham","41181"
"99","pm10_ratio","pm10_indoor",0.73,0,"sham","41181"
"100","pm1num_indoor","pm10_indoor",0.34,8.5e-179,"sham","41181"
"101","pm1num_outdoor","pm10_indoor",-0.0047,0.697,"sham","41181"
"102","pm1num_ratio","pm10_indoor",0.33,1.61e-169,"sham","41181"
"103","temp_indoor","pm10_indoor",-0.059,1.39e-06,"sham","41181"
"104","temp_outdoor","pm10_indoor",0.059,1.17e-06,"sham","41181"
"105","temp_ratio","pm10_indoor",-0.11,6.77e-20,"sham","41181"
"106","pm1_indoor","pm10_outdoor",0.0035,0.775,"sham","41181"
"107","pm1_outdoor","pm10_outdoor",0.26,1.24e-105,"sham","41181"
"108","pm1_ratio","pm10_outdoor",-0.028,0.0197,"sham","41181"
"109","pm25_indoor","pm10_outdoor",0.024,0.0506,"sham","41181"
"110","pm25_outdoor","pm10_outdoor",0.27,5.1e-112,"sham","41181"
"111","pm25_ratio","pm10_outdoor",-0.05,3.7e-05,"sham","41181"
"112","pm10_indoor","pm10_outdoor",-0.015,0.203,"sham","41181"
"113","pm10_outdoor","pm10_outdoor",1,0,"sham","41181"
"114","pm10_ratio","pm10_outdoor",-0.11,4.11e-19,"sham","41181"
"115","pm1num_indoor","pm10_outdoor",0.047,0.000114,"sham","41181"
"116","pm1num_outdoor","pm10_outdoor",0.16,1.57e-42,"sham","41181"
"117","pm1num_ratio","pm10_outdoor",-0.029,0.0175,"sham","41181"
"118","temp_indoor","pm10_outdoor",-0.041,0.000655,"sham","41181"
"119","temp_outdoor","pm10_outdoor",0.078,1.07e-10,"sham","41181"
"120","temp_ratio","pm10_outdoor",-0.11,1.12e-20,"sham","41181"
"121","pm1_indoor","pm10_ratio",0.072,3.71e-09,"sham","41181"
"122","pm1_outdoor","pm10_ratio",-0.073,1.55e-09,"sham","41181"
"123","pm1_ratio","pm10_ratio",0.14,5.13e-32,"sham","41181"
"124","pm25_indoor","pm10_ratio",0.11,8.69e-21,"sham","41181"
"125","pm25_outdoor","pm10_ratio",-0.08,4.74e-11,"sham","41181"
"126","pm25_ratio","pm10_ratio",0.19,8.81e-54,"sham","41181"
"127","pm10_indoor","pm10_ratio",0.73,0,"sham","41181"
"128","pm10_outdoor","pm10_ratio",-0.11,4.11e-19,"sham","41181"
"129","pm10_ratio","pm10_ratio",1,0,"sham","41181"
"130","pm1num_indoor","pm10_ratio",0.08,4.86e-11,"sham","41181"
"131","pm1num_outdoor","pm10_ratio",-0.054,9.75e-06,"sham","41181"
"132","pm1num_ratio","pm10_ratio",0.12,2.07e-23,"sham","41181"
"133","temp_indoor","pm10_ratio",0.03,0.0125,"sham","41181"
"134","temp_outdoor","pm10_ratio",0.0092,0.449,"sham","41181"
"135","temp_ratio","pm10_ratio",-0.029,0.0153,"sham","41181"
"136","pm1_indoor","pm1num_indoor",0.76,0,"sham","41181"
"137","pm1_outdoor","pm1num_indoor",0.34,1.18e-186,"sham","41181"
"138","pm1_ratio","pm1num_indoor",0.16,2.21e-40,"sham","41181"
"139","pm25_indoor","pm1num_indoor",0.89,0,"sham","41181"
"140","pm25_outdoor","pm1num_indoor",0.33,1.93e-172,"sham","41181"
"141","pm25_ratio","pm1num_indoor",0.23,1.85e-84,"sham","41181"
"142","pm10_indoor","pm1num_indoor",0.34,8.5e-179,"sham","41181"
"143","pm10_outdoor","pm1num_indoor",0.047,0.000114,"sham","41181"
"144","pm10_ratio","pm1num_indoor",0.08,4.86e-11,"sham","41181"
"145","pm1num_indoor","pm1num_indoor",1,0,"sham","41181"
"146","pm1num_outdoor","pm1num_indoor",0.12,4.02e-24,"sham","41181"
"147","pm1num_ratio","pm1num_indoor",0.72,0,"sham","41181"
"148","temp_indoor","pm1num_indoor",0.3,1.14e-145,"sham","41181"
