"","participant_id","environment","type","case","mean","median","q5","q25","q75","q95","sd"
"1","41271","indoor","concent","hepa",3090.97290700695,2319.37353433836,677.488740133779,1199.68040453102,3976.35327277413,8659.59158165409,2748.37002660126
"2","41271","indoor","concent","sham",4414.83309308591,2747.91638795987,810.253272798216,1801.36237618253,4864.80183946488,12389.3219063545,5260.8483634418
"3","41271","indoor","concent","redu",29.9866418087756,15.5951926157284,16.3855595678045,33.4014954240692,18.2627904693541,30.1043943558157,47.7580451529457
"4","41271","indoor","inlttmp","hepa",28.5263472342981,28.0005025125628,27.1,27.4194304857621,29.8199321580029,30.7996153846154,1.3142392397938
"5","41271","indoor","inlttmp","sham",24.2867690862263,24.0929765886288,22.7297710702341,23.4,25.348745819398,25.7,1.035978516355
"6","41271","indoor","inlttmp","redu",-17.4563283120116,-16.2185270448413,-19.2268937344861,-17.1770533579579,-17.6386885980899,-19.8428614187369,-26.8597001816055
"7","41271","indoor","pm1","hepa",0.917995976619704,0.7174,0.26868,0.4943,1.19505,2.04318333333333,0.749302514306896
"8","41271","indoor","pm1","sham",2.38018214559387,2.1388,0.728,1.4102,2.77025,5.02111666666667,1.67404944433951
"9","41271","indoor","pm1","redu",61.4316921787236,66.4578268187769,63.0934065934066,64.9482342930081,56.86129410703,59.3081884175831,55.2401204850595
"10","41271","indoor","pm10","hepa",3.67641136780622,2.1257,0.661332222222222,1.18115,4.03885,12.4844222222222,4.6435357384647
"11","41271","indoor","pm10","sham",4.58235845648604,3.0938,1.14091,2.0665,5.29755,13.17087,4.24334825873051
"12","41271","indoor","pm10","redu",19.7703234542358,31.2916154890426,42.034672128194,42.8429712073554,23.7600400184991,5.21186358818958,-9.43093649951575
"13","41271","indoor","pm1num","hepa",2.53992916224814,2.1468,0.962339682539682,1.59735,3.19,5.10048,1.41124977960952
"14","41271","indoor","pm1num","sham",6.91013453749316,6.0994,2.62946,4.53985,7.6771,14.49048,4.43189552199126
