"","peak_idx","valley_idx","peak_hgt","k_val","conv_tol","case","participant","particle"
"127",38,125,6.5292,0.0132095834314663,3.03307110076168e-07,"sham","44621","1"
"225",181,222,9.1741,0.0842423169696324,2.02699759123018e-06,"sham","44621","1"
"320",774,894,6.4851,0.0957368414229945,1.20850590467289e-06,"sham","44621","1"
"419",42,123,7.4299,0.0201535978541451,3.45646920959277e-07,"sham","44621","2.5"
"59",181,260,9.7421,0.0332173389704602,9.58241865242633e-07,"sham","44621","2.5"
"68",774,864,6.8654,0.0951407565424467,5.93405833509089e-07,"sham","44621","2.5"
"78",16,35,30.7839,0.401925451719366,4.53470111278554e-07,"sham","44621","10"
"87",171,303,25.0963,0.0384252987721491,1.30923242569369e-06,"sham","44621","10"
"97",337,361,31.5185,0.450133236927086,8.53124562237973e-07,"sham","44621","10"
"128",310,317,49.0511,0.862227369818249,6.44120263654602e-06,"hepa","44621","1"
"226",452,457,8.2298,0.556316177807075,2.01042058224202e-06,"hepa","44621","1"
"322",701,728,230.096,0.237030265927361,1.80791182238382e-06,"hepa","44621","1"
"420",310,317,49.6769,0.863066327443613,6.52549572260643e-06,"hepa","44621","2.5"
"510",452,457,8.3876,0.559660168053323,2.16602575869578e-06,"hepa","44621","2.5"
"69",702,724,268.1886,0.289848300459621,5.6542952515247e-07,"hepa","44621","2.5"
"79",16,21,21.8071,0.125913336983899,4.34673078061101e-06,"hepa","44621","10"
"88",310,315,60.1442,0.714864345235336,8.06124164190842e-06,"hepa","44621","10"
"98",702,720,460.5553,0.368790011380106,3.02036289953687e-07,"hepa","44621","10"
"129",29,38,6.5086,0.725418697994596,2.73785767476054e-06,"sham","45361","1"
"227",29,38,19.5133,0.675079830145013,4.14547127102125e-06,"sham","45361","2.5"
"323",29,45,223.6795,0.963139237489191,7.18780566641976e-07,"sham","45361","10"
"422",313,320,69.8446,0.523309838770041,6.23746321989779e-06,"sham","45361","10"
"511",411,418,38.239,0.440040320896793,1.37258363727621e-06,"sham","45361","10"
"610",698,705,77.4697,0.912305236107196,5.60610066082591e-06,"sham","45361","10"
"710",731,735,47.573,2.63501677762461,4.11472025699051e-06,"sham","45361","10"
"130",262,272,5.5291,0.476155194475699,1.15067555241792e-06,"hepa","45361","1"
