"","x","y","r","case","participant_id"
"87","inlttmp_outdoor","pm1num_ratio",-0.305615593182436,"sham","41271"
"88","inlttmp_outdoor","temp_indoor",0.923196471186479,"sham","41271"
"89","inlttmp_outdoor","temp_outdoor",-0.118573325261762,"sham","41271"
"90","inlttmp_outdoor","temp_ratio",-0.0397630142363425,"sham","41271"
"91","inlttmp_ratio","pm1_indoor",0.19966558313897,"sham","41271"
"92","inlttmp_ratio","pm1_outdoor",0.0359187799287535,"sham","41271"
"93","inlttmp_ratio","pm1_ratio",0.0840402034865177,"sham","41271"
"94","inlttmp_ratio","pm25_indoor",0.226596297109519,"sham","41271"
"95","inlttmp_ratio","pm25_outdoor",0.0460982779072508,"sham","41271"
"96","inlttmp_ratio","pm25_ratio",0.199655115943435,"sham","41271"
"97","inlttmp_ratio","pm10_indoor",0.239854905845359,"sham","41271"
"98","inlttmp_ratio","pm10_outdoor",0.173779738237415,"sham","41271"
"99","inlttmp_ratio","pm10_ratio",0.0866864154303217,"sham","41271"
"100","inlttmp_ratio","pm1num_indoor",0.231521140486707,"sham","41271"
"101","inlttmp_ratio","pm1num_outdoor",-0.203846020937233,"sham","41271"
"102","inlttmp_ratio","pm1num_ratio",0.188718577439755,"sham","41271"
"103","inlttmp_ratio","temp_indoor",-0.817067861180903,"sham","41271"
"104","inlttmp_ratio","temp_outdoor",-0.267487847271727,"sham","41271"
"105","inlttmp_ratio","temp_ratio",0.0217642812771336,"sham","41271"
"106","pm1_indoor","pm1_outdoor",0.17913399168512,"sham","41271"
"107","pm1_indoor","pm1_ratio",0.68410660718541,"sham","41271"
"108","pm1_indoor","pm25_indoor",0.985530669347721,"sham","41271"
"109","pm1_indoor","pm25_outdoor",0.299791200713037,"sham","41271"
"110","pm1_indoor","pm25_ratio",0.558597585596296,"sham","41271"
"111","pm1_indoor","pm10_indoor",0.560952181744521,"sham","41271"
"112","pm1_indoor","pm10_outdoor",0.134431817167882,"sham","41271"
"113","pm1_indoor","pm10_ratio",0.345381040897886,"sham","41271"
"114","pm1_indoor","pm1num_indoor",0.931688130528878,"sham","41271"
"115","pm1_indoor","pm1num_outdoor",0.106633388647336,"sham","41271"
"116","pm1_indoor","pm1num_ratio",0.687490640722123,"sham","41271"
"117","pm1_indoor","temp_indoor",-0.185921177712313,"sham","41271"
"118","pm1_indoor","temp_outdoor",0.215170154321427,"sham","41271"
"119","pm1_indoor","temp_ratio",0.00172750086955725,"sham","41271"
"120","pm1_outdoor","pm1_ratio",-0.394927027467711,"sham","41271"
"121","pm1_outdoor","pm25_indoor",0.114138835056236,"sham","41271"
"122","pm1_outdoor","pm25_outdoor",0.477518156672814,"sham","41271"
"123","pm1_outdoor","pm25_ratio",-0.228326819456436,"sham","41271"
"124","pm1_outdoor","pm10_indoor",-0.0347570980343637,"sham","41271"
"125","pm1_outdoor","pm10_outdoor",0.0245402330534017,"sham","41271"
"126","pm1_outdoor","pm10_ratio",-0.119467864022443,"sham","41271"
"127","pm1_outdoor","pm1num_indoor",0.0644095778962848,"sham","41271"
"128","pm1_outdoor","pm1num_outdoor",0.728860571065734,"sham","41271"
"129","pm1_outdoor","pm1num_ratio",-0.346618366971864,"sham","41271"
"130","pm1_outdoor","temp_indoor",0.0603149579595283,"sham","41271"
"131","pm1_outdoor","temp_outdoor",-0.396528286181298,"sham","41271"
"132","pm1_outdoor","temp_ratio",0.00330667756479404,"sham","41271"
"133","pm1_ratio","pm25_indoor",0.704016220383964,"sham","41271"
"134","pm1_ratio","pm25_outdoor",-0.0451970305992735,"sham","41271"
"135","pm1_ratio","pm25_ratio",0.615523043396219,"sham","41271"
"136","pm1_ratio","pm10_indoor",0.415186008109507,"sham","41271"
"137","pm1_ratio","pm10_outdoor",0.0614743899198334,"sham","41271"
"138","pm1_ratio","pm10_ratio",0.321203187294169,"sham","41271"
"139","pm1_ratio","pm1num_indoor",0.725970333980399,"sham","41271"
"140","pm1_ratio","pm1num_outdoor",-0.285165686950861,"sham","41271"
"141","pm1_ratio","pm1num_ratio",0.800512161597421,"sham","41271"
"142","pm1_ratio","temp_indoor",-0.142328627954822,"sham","41271"
"143","pm1_ratio","temp_outdoor",0.470800395187557,"sham","41271"
"144","pm1_ratio","temp_ratio",-0.00606165141329709,"sham","41271"
"145","pm25_indoor","pm25_outdoor",0.2845295015592,"sham","41271"
"146","pm25_indoor","pm25_ratio",0.655978973917692,"sham","41271"
"147","pm25_indoor","pm10_indoor",0.618166005645203,"sham","41271"
"148","pm25_indoor","pm10_outdoor",0.173085418116582,"sham","41271"
"149","pm25_indoor","pm10_ratio",0.399636631028847,"sham","41271"
"150","pm25_indoor","pm1num_indoor",0.966794406714677,"sham","41271"
"151","pm25_indoor","pm1num_outdoor",0.055383057986137,"sham","41271"
"152","pm25_indoor","pm1num_ratio",0.76819359269337,"sham","41271"
"153","pm25_indoor","temp_indoor",-0.218075128990169,"sham","41271"
"154","pm25_indoor","temp_outdoor",0.248642558833447,"sham","41271"
"155","pm25_indoor","temp_ratio",0.00376325819478494,"sham","41271"
"156","pm25_outdoor","pm25_ratio",-0.251506184942487,"sham","41271"
"157","pm25_outdoor","pm10_indoor",0.280019011615084,"sham","41271"
"158","pm25_outdoor","pm10_outdoor",0.684695676841206,"sham","41271"
"159","pm25_outdoor","pm10_ratio",-0.247841218424964,"sham","41271"
"160","pm25_outdoor","pm1num_indoor",0.2641590757725,"sham","41271"
"161","pm25_outdoor","pm1num_outdoor",0.431434270297995,"sham","41271"
"162","pm25_outdoor","pm1num_ratio",-0.115459496361446,"sham","41271"
"163","pm25_outdoor","temp_indoor",-0.114260780317123,"sham","41271"
"164","pm25_outdoor","temp_outdoor",0.236858169043091,"sham","41271"
"165","pm25_outdoor","temp_ratio",-0.00790074843893518,"sham","41271"
"166","pm25_ratio","pm10_indoor",0.370736486814926,"sham","41271"
"167","pm25_ratio","pm10_outdoor",-0.130580350010651,"sham","41271"
"168","pm25_ratio","pm10_ratio",0.625426302957293,"sham","41271"
"169","pm25_ratio","pm1num_indoor",0.716966382948215,"sham","41271"
"170","pm25_ratio","pm1num_outdoor",-0.225115090491621,"sham","41271"
"171","pm25_ratio","pm1num_ratio",0.918747762531373,"sham","41271"
"172","pm25_ratio","temp_indoor",-0.164745888202629,"sham","41271"
"173","pm25_ratio","temp_outdoor",0.148144704337245,"sham","41271"
"174","pm25_ratio","temp_ratio",0.00236743313789913,"sham","41271"
"175","pm10_indoor","pm10_outdoor",0.372351625758567,"sham","41271"
"176","pm10_indoor","pm10_ratio",0.46415372837772,"sham","41271"
"177","pm10_indoor","pm1num_indoor",0.600409804902334,"sham","41271"
"178","pm10_indoor","pm1num_outdoor",-0.0610972469341674,"sham","41271"
"179","pm10_indoor","pm1num_ratio",0.469704450486013,"sham","41271"
"180","pm10_indoor","temp_indoor",-0.272778259082945,"sham","41271"
"181","pm10_indoor","temp_outdoor",0.258025639351313,"sham","41271"
"182","pm10_indoor","temp_ratio",0.0132088751427291,"sham","41271"
"183","pm10_outdoor","pm10_ratio",-0.250542610281896,"sham","41271"
"184","pm10_outdoor","pm1num_indoor",0.181273956847888,"sham","41271"
"185","pm10_outdoor","pm1num_outdoor",0.162068671094585,"sham","41271"
"186","pm10_outdoor","pm1num_ratio",-0.0216031230286073,"sham","41271"
"187","pm10_outdoor","temp_indoor",-0.292845283997855,"sham","41271"
"188","pm10_outdoor","temp_outdoor",0.174031293638457,"sham","41271"
"189","pm10_outdoor","temp_ratio",0.01251655256286,"sham","41271"
"190","pm10_ratio","pm1num_indoor",0.419775669452118,"sham","41271"
"191","pm10_ratio","pm1num_outdoor",-0.176242243359576,"sham","41271"
"192","pm10_ratio","pm1num_ratio",0.55678306015544,"sham","41271"
"193","pm10_ratio","temp_indoor",-0.0462537548079655,"sham","41271"
"194","pm10_ratio","temp_outdoor",0.127441158201225,"sham","41271"
"195","pm10_ratio","temp_ratio",-0.00491952971135681,"sham","41271"
"196","pm1num_indoor","pm1num_outdoor",0.0599559902235003,"sham","41271"
"197","pm1num_indoor","pm1num_ratio",0.816821398096723,"sham","41271"
"198","pm1num_indoor","temp_indoor",-0.24603860066273,"sham","41271"
"199","pm1num_indoor","temp_outdoor",0.291914426943522,"sham","41271"
"200","pm1num_indoor","temp_ratio",0.00775022289828013,"sham","41271"
"201","pm1num_outdoor","pm1num_ratio",-0.357213929392907,"sham","41271"
"202","pm1num_outdoor","temp_indoor",0.112768576881126,"sham","41271"
"203","pm1num_outdoor","temp_outdoor",-0.219614818846823,"sham","41271"
"204","pm1num_outdoor","temp_ratio",0.045235802119257,"sham","41271"
"205","pm1num_ratio","temp_indoor",-0.171434202114214,"sham","41271"
"206","pm1num_ratio","temp_outdoor",0.365831247571709,"sham","41271"
"207","pm1num_ratio","temp_ratio",-0.00878844033806359,"sham","41271"
"208","temp_indoor","temp_outdoor",0.0753574358287505,"sham","41271"
"209","temp_indoor","temp_ratio",-0.0428337643976192,"sham","41271"
"210","temp_outdoor","temp_ratio",0.018926770602837,"sham","41271"
"211","concent_indoor","concent_outdoor",0.581562131724991,"hepa","41271"
"212","concent_indoor","concent_ratio",0.613253690827791,"hepa","41271"
"213","concent_indoor","inlttmp_indoor",-0.331594983841922,"hepa","41271"
"214","concent_indoor","inlttmp_outdoor",-0.185911134272835,"hepa","41271"
"215","concent_indoor","inlttmp_ratio",-0.359302264474004,"hepa","41271"
"216","concent_indoor","pm1_indoor",0.0668155600643497,"hepa","41271"
"217","concent_indoor","pm1_outdoor",0.0961561298124955,"hepa","41271"
"218","concent_indoor","pm1_ratio",-0.00909969565311443,"hepa","41271"
"219","concent_indoor","pm25_indoor",0.0567390868468375,"hepa","41271"
"220","concent_indoor","pm25_outdoor",0.0249950322911831,"hepa","41271"
"221","concent_indoor","pm25_ratio",0.0121271421002838,"hepa","41271"
"222","concent_indoor","pm10_indoor",-0.0901716038060656,"hepa","41271"
"223","concent_indoor","pm10_outdoor",-0.0478484097414886,"hepa","41271"
"224","concent_indoor","pm10_ratio",-0.0995655509763134,"hepa","41271"
"225","concent_indoor","pm1num_indoor",0.16181611340113,"hepa","41271"
"226","concent_indoor","pm1num_outdoor",-0.0567407116797385,"hepa","41271"
"227","concent_indoor","pm1num_ratio",0.272179150090845,"hepa","41271"
"228","concent_indoor","temp_indoor",-0.250614147455219,"hepa","41271"
"229","concent_indoor","temp_outdoor",-0.0968491689318425,"hepa","41271"
"230","concent_indoor","temp_ratio",0.0451018515112059,"hepa","41271"
"231","concent_outdoor","concent_ratio",-0.106542859759722,"hepa","41271"
"232","concent_outdoor","inlttmp_indoor",-0.284227753082961,"hepa","41271"
"233","concent_outdoor","inlttmp_outdoor",-0.135907632091269,"hepa","41271"
"234","concent_outdoor","inlttmp_ratio",-0.331834100621918,"hepa","41271"
"235","concent_outdoor","pm1_indoor",8.53611349951618e-05,"hepa","41271"
"236","concent_outdoor","pm1_outdoor",0.0319473749620905,"hepa","41271"
"237","concent_outdoor","pm1_ratio",-0.0220115518509531,"hepa","41271"
"238","concent_outdoor","pm25_indoor",-0.00395999242019383,"hepa","41271"
"239","concent_outdoor","pm25_outdoor",-0.0771369800237816,"hepa","41271"
"240","concent_outdoor","pm25_ratio",0.0240106979181699,"hepa","41271"
"241","concent_outdoor","pm10_indoor",-0.0519711613953881,"hepa","41271"
"242","concent_outdoor","pm10_outdoor",-0.1465563969246,"hepa","41271"
"243","concent_outdoor","pm10_ratio",-0.0306537593922389,"hepa","41271"
"244","concent_outdoor","pm1num_indoor",0.0982360927320382,"hepa","41271"
"245","concent_outdoor","pm1num_outdoor",-0.0822846263347369,"hepa","41271"
"246","concent_outdoor","pm1num_ratio",0.279087577269277,"hepa","41271"
"247","concent_outdoor","temp_indoor",-0.218747412975406,"hepa","41271"
"248","concent_outdoor","temp_outdoor",-0.0481786120770998,"hepa","41271"
"249","concent_outdoor","temp_ratio",-0.0241225292384614,"hepa","41271"
"250","concent_ratio","inlttmp_indoor",-0.145836953975877,"hepa","41271"
"251","concent_ratio","inlttmp_outdoor",-0.163722401914897,"hepa","41271"
"252","concent_ratio","inlttmp_ratio",-0.0706036101796057,"hepa","41271"
"253","concent_ratio","pm1_indoor",0.0264216191512838,"hepa","41271"
"254","concent_ratio","pm1_outdoor",0.00645317993244978,"hepa","41271"
"255","concent_ratio","pm1_ratio",0.012376673978062,"hepa","41271"
"256","concent_ratio","pm25_indoor",0.0137251223688913,"hepa","41271"
"257","concent_ratio","pm25_outdoor",0.0180520267092682,"hepa","41271"
"258","concent_ratio","pm25_ratio",-0.0119762913987681,"hepa","41271"
"259","concent_ratio","pm10_indoor",-0.087348968430186,"hepa","41271"
"260","concent_ratio","pm10_outdoor",0.0521342939223599,"hepa","41271"
"261","concent_ratio","pm10_ratio",-0.105544064722568,"hepa","41271"
"262","concent_ratio","pm1num_indoor",-0.00945517429365146,"hepa","41271"
"263","concent_ratio","pm1num_outdoor",-0.101667446156892,"hepa","41271"
"264","concent_ratio","pm1num_ratio",0.0940195062840364,"hepa","41271"
"265","concent_ratio","temp_indoor",-0.0685596312064736,"hepa","41271"
"266","concent_ratio","temp_outdoor",0.0859322015286991,"hepa","41271"
"267","concent_ratio","temp_ratio",-0.0234383672122251,"hepa","41271"
"268","inlttmp_indoor","inlttmp_outdoor",0.833956087686268,"hepa","41271"
"269","inlttmp_indoor","inlttmp_ratio",0.808032370991597,"hepa","41271"
"270","inlttmp_indoor","pm1_indoor",-0.257394576219514,"hepa","41271"
"271","inlttmp_indoor","pm1_outdoor",-0.318611334168841,"hepa","41271"
"272","inlttmp_indoor","pm1_ratio",-0.0285351362454052,"hepa","41271"
"273","inlttmp_indoor","pm25_indoor",-0.207425049116778,"hepa","41271"
"274","inlttmp_indoor","pm25_outdoor",-0.2149943522921,"hepa","41271"
"275","inlttmp_indoor","pm25_ratio",-0.03821439723019,"hepa","41271"
"276","inlttmp_indoor","pm10_indoor",0.246575875838927,"hepa","41271"
"277","inlttmp_indoor","pm10_outdoor",-0.126923823932952,"hepa","41271"
"278","inlttmp_indoor","pm10_ratio",0.294970975581444,"hepa","41271"
"279","inlttmp_indoor","pm1num_indoor",-0.328093699434314,"hepa","41271"
"280","inlttmp_indoor","pm1num_outdoor",-0.1424712721337,"hepa","41271"
"281","inlttmp_indoor","pm1num_ratio",-0.124981944065734,"hepa","41271"
"282","inlttmp_indoor","temp_indoor",0.919002255272386,"hepa","41271"
"283","inlttmp_indoor","temp_outdoor",0.705496806967716,"hepa","41271"
"284","inlttmp_indoor","temp_ratio",-0.56262119779454,"hepa","41271"
"285","inlttmp_outdoor","inlttmp_ratio",0.349002814962858,"hepa","41271"
"286","inlttmp_outdoor","pm1_indoor",-0.139035246559992,"hepa","41271"
"287","inlttmp_outdoor","pm1_outdoor",-0.186874228245054,"hepa","41271"
"288","inlttmp_outdoor","pm1_ratio",-0.00474601665344275,"hepa","41271"
"289","inlttmp_outdoor","pm25_indoor",-0.0965324232494929,"hepa","41271"
"290","inlttmp_outdoor","pm25_outdoor",-0.123143685047747,"hepa","41271"
"291","inlttmp_outdoor","pm25_ratio",0.00565925200300598,"hepa","41271"
"292","inlttmp_outdoor","pm10_indoor",0.242429930094249,"hepa","41271"
"293","inlttmp_outdoor","pm10_outdoor",-0.167967357620148,"hepa","41271"
"294","inlttmp_outdoor","pm10_ratio",0.272425352235217,"hepa","41271"
"295","inlttmp_outdoor","pm1num_indoor",-0.174069274559836,"hepa","41271"
"296","inlttmp_outdoor","pm1num_outdoor",-0.161907475051512,"hepa","41271"
"297","inlttmp_outdoor","pm1num_ratio",0.0737074107453021,"hepa","41271"
"298","inlttmp_outdoor","temp_indoor",0.670841268227994,"hepa","41271"
"299","inlttmp_outdoor","temp_outdoor",0.477013308319784,"hepa","41271"
"300","inlttmp_outdoor","temp_ratio",-0.354140304655284,"hepa","41271"
"301","inlttmp_ratio","pm1_indoor",-0.288946497209821,"hepa","41271"
"302","inlttmp_ratio","pm1_outdoor",-0.342715396685432,"hepa","41271"
"303","inlttmp_ratio","pm1_ratio",-0.0428724098995051,"hepa","41271"
"304","inlttmp_ratio","pm25_indoor",-0.249425272851343,"hepa","41271"
"305","inlttmp_ratio","pm25_outdoor",-0.235857612201762,"hepa","41271"
"306","inlttmp_ratio","pm25_ratio",-0.0698539241586163,"hepa","41271"
"307","inlttmp_ratio","pm10_indoor",0.159502877268702,"hepa","41271"
"308","inlttmp_ratio","pm10_outdoor",-0.0393942871514134,"hepa","41271"
"309","inlttmp_ratio","pm10_ratio",0.210201033034809,"hepa","41271"
"310","inlttmp_ratio","pm1num_indoor",-0.372396280169286,"hepa","41271"
"311","inlttmp_ratio","pm1num_outdoor",-0.0731407614635822,"hepa","41271"
"312","inlttmp_ratio","pm1num_ratio",-0.284116771506116,"hepa","41271"
"313","inlttmp_ratio","temp_indoor",0.843781228547976,"hepa","41271"
"314","inlttmp_ratio","temp_outdoor",0.691359986137403,"hepa","41271"
"315","inlttmp_ratio","temp_ratio",-0.579468338874653,"hepa","41271"
"316","pm1_indoor","pm1_outdoor",0.592408617907342,"hepa","41271"
"317","pm1_indoor","pm1_ratio",0.72330864012019,"hepa","41271"
"318","pm1_indoor","pm25_indoor",0.989838017798177,"hepa","41271"
"319","pm1_indoor","pm25_outdoor",0.555514337126991,"hepa","41271"
"320","pm1_indoor","pm25_ratio",0.733530757459019,"hepa","41271"
"321","pm1_indoor","pm10_indoor",0.269250906067403,"hepa","41271"
"322","pm1_indoor","pm10_outdoor",0.141634780200606,"hepa","41271"
"323","pm1_indoor","pm10_ratio",0.286094442440957,"hepa","41271"
"324","pm1_indoor","pm1num_indoor",0.587296535452723,"hepa","41271"
"325","pm1_indoor","pm1num_outdoor",0.424732151229754,"hepa","41271"
"326","pm1_indoor","pm1num_ratio",-0.0288577080116453,"hepa","41271"
"327","pm1_indoor","temp_indoor",-0.389744678478864,"hepa","41271"
"328","pm1_indoor","temp_outdoor",-0.405336438042536,"hepa","41271"
"329","pm1_indoor","temp_ratio",0.430385438819886,"hepa","41271"
"330","pm1_outdoor","pm1_ratio",-0.0771974776252494,"hepa","41271"
"331","pm1_outdoor","pm25_indoor",0.56599256763199,"hepa","41271"
"332","pm1_outdoor","pm25_outdoor",0.960852672622966,"hepa","41271"
"333","pm1_outdoor","pm25_ratio",-0.0609115926488295,"hepa","41271"
"334","pm1_outdoor","pm10_indoor",0.0640016016232821,"hepa","41271"
"335","pm1_outdoor","pm10_outdoor",0.305689527696244,"hepa","41271"
"336","pm1_outdoor","pm10_ratio",-0.0600127554283368,"hepa","41271"
"337","pm1_outdoor","pm1num_indoor",0.819144807747309,"hepa","41271"
"338","pm1_outdoor","pm1num_outdoor",0.706663713901521,"hepa","41271"
"339","pm1_outdoor","pm1num_ratio",-0.213535827646779,"hepa","41271"
"340","pm1_outdoor","temp_indoor",-0.410408293075282,"hepa","41271"
"341","pm1_outdoor","temp_outdoor",-0.635830942459251,"hepa","41271"
"342","pm1_outdoor","temp_ratio",0.669518678575418,"hepa","41271"
"343","pm1_ratio","pm25_indoor",0.727580555501316,"hepa","41271"
"344","pm1_ratio","pm25_outdoor",-0.08613011964852,"hepa","41271"
"345","pm1_ratio","pm25_ratio",0.98747457657048,"hepa","41271"
"346","pm1_ratio","pm10_indoor",0.299683030118974,"hepa","41271"
"347","pm1_ratio","pm10_outdoor",-0.0512583155232805,"hepa","41271"
"348","pm1_ratio","pm10_ratio",0.412823459476166,"hepa","41271"
"349","pm1_ratio","pm1num_indoor",-0.0401723216760414,"hepa","41271"
"350","pm1_ratio","pm1num_outdoor",-0.0817860677614992,"hepa","41271"
"351","pm1_ratio","pm1num_ratio",0.0866683902434097,"hepa","41271"
"352","pm1_ratio","temp_indoor",-0.128807188093761,"hepa","41271"
"353","pm1_ratio","temp_outdoor",0.0522900840806842,"hepa","41271"
"354","pm1_ratio","temp_ratio",-0.0580301403935212,"hepa","41271"
"355","pm25_indoor","pm25_outdoor",0.539267844386972,"hepa","41271"
"356","pm25_indoor","pm25_ratio",0.749904995149794,"hepa","41271"
"357","pm25_indoor","pm10_indoor",0.340323910531433,"hepa","41271"
"358","pm25_indoor","pm10_outdoor",0.148904691889623,"hepa","41271"
"359","pm25_indoor","pm10_ratio",0.365319109146171,"hepa","41271"
"360","pm25_indoor","pm1num_indoor",0.608486597153842,"hepa","41271"
"361","pm25_indoor","pm1num_outdoor",0.409650241539929,"hepa","41271"
"362","pm25_indoor","pm1num_ratio",0.0296847182333218,"hepa","41271"
"363","pm25_indoor","temp_indoor",-0.338948179720811,"hepa","41271"
"364","pm25_indoor","temp_outdoor",-0.359176284463943,"hepa","41271"
"365","pm25_indoor","temp_ratio",0.385378311736832,"hepa","41271"
"366","pm25_outdoor","pm25_ratio",-0.0942865495403552,"hepa","41271"
"367","pm25_outdoor","pm10_indoor",0.0950137335842085,"hepa","41271"
"368","pm25_outdoor","pm10_outdoor",0.483610649043695,"hepa","41271"
"369","pm25_outdoor","pm10_ratio",-0.0911491931699086,"hepa","41271"
"370","pm25_outdoor","pm1num_indoor",0.804989133820672,"hepa","41271"
"371","pm25_outdoor","pm1num_outdoor",0.7202265572652,"hepa","41271"
"372","pm25_outdoor","pm1num_ratio",-0.25242881361724,"hepa","41271"
"373","pm25_outdoor","temp_indoor",-0.309172280101271,"hepa","41271"
"374","pm25_outdoor","temp_outdoor",-0.556475030936779,"hepa","41271"
