"","var1","var2","cor","p","case","participant_id"
"79","concent_indoor","concent_outdoor",-0.069,5.93e-125,"sham","42281"
"80","concent_outdoor","concent_outdoor",1,0,"sham","42281"
"81","concent_ratio","concent_outdoor",-0.23,0,"sham","42281"
"82","inlttmp_indoor","concent_outdoor",-0.06,7.39e-93,"sham","42281"
"83","inlttmp_outdoor","concent_outdoor",-0.072,7.29e-135,"sham","42281"
"84","inlttmp_ratio","concent_outdoor",0.15,0,"sham","42281"
"85","concent_indoor","concent_ratio",0.29,0,"sham","42281"
"86","concent_outdoor","concent_ratio",-0.23,0,"sham","42281"
"87","concent_ratio","concent_ratio",1,0,"sham","42281"
"88","inlttmp_indoor","concent_ratio",0.19,0,"sham","42281"
"89","inlttmp_outdoor","concent_ratio",0.21,0,"sham","42281"
"90","inlttmp_ratio","concent_ratio",-0.17,0,"sham","42281"
"91","concent_indoor","inlttmp_indoor",0.43,0,"sham","42281"
"92","concent_outdoor","inlttmp_indoor",-0.06,7.39e-93,"sham","42281"
"93","concent_ratio","inlttmp_indoor",0.19,0,"sham","42281"
"94","inlttmp_indoor","inlttmp_indoor",1,0,"sham","42281"
"95","inlttmp_outdoor","inlttmp_indoor",1,0,"sham","42281"
"96","inlttmp_ratio","inlttmp_indoor",-0.13,0,"sham","42281"
"97","concent_indoor","inlttmp_outdoor",0.46,0,"sham","42281"
"98","concent_outdoor","inlttmp_outdoor",-0.072,7.29e-135,"sham","42281"
"99","concent_ratio","inlttmp_outdoor",0.21,0,"sham","42281"
"100","inlttmp_indoor","inlttmp_outdoor",1,0,"sham","42281"
"101","inlttmp_outdoor","inlttmp_outdoor",1,0,"sham","42281"
"102","inlttmp_ratio","inlttmp_outdoor",-0.23,0,"sham","42281"
"103","concent_indoor","inlttmp_ratio",-0.37,0,"sham","42281"
"104","concent_outdoor","inlttmp_ratio",0.15,0,"sham","42281"
"105","concent_ratio","inlttmp_ratio",-0.17,0,"sham","42281"
"106","inlttmp_indoor","inlttmp_ratio",-0.13,0,"sham","42281"
"107","inlttmp_outdoor","inlttmp_ratio",-0.23,0,"sham","42281"
"108","inlttmp_ratio","inlttmp_ratio",1,0,"sham","42281"
"109","concent_indoor","concent_indoor",1,0,"hepa","42281"
"110","concent_outdoor","concent_indoor",0.11,0,"hepa","42281"
"111","concent_ratio","concent_indoor",0.92,0,"hepa","42281"
"112","inlttmp_indoor","concent_indoor",-0.097,0,"hepa","42281"
"113","inlttmp_outdoor","concent_indoor",-0.097,0,"hepa","42281"
"114","inlttmp_ratio","concent_indoor",0.068,0,"hepa","42281"
"115","concent_indoor","concent_outdoor",0.11,0,"hepa","42281"
"116","concent_outdoor","concent_outdoor",1,0,"hepa","42281"
"117","concent_ratio","concent_outdoor",-0.097,0,"hepa","42281"
"118","inlttmp_indoor","concent_outdoor",-0.29,0,"hepa","42281"
"119","inlttmp_outdoor","concent_outdoor",-0.29,0,"hepa","42281"
"120","inlttmp_ratio","concent_outdoor",0.26,0,"hepa","42281"
"121","concent_indoor","concent_ratio",0.92,0,"hepa","42281"
"122","concent_outdoor","concent_ratio",-0.097,0,"hepa","42281"
"123","concent_ratio","concent_ratio",1,0,"hepa","42281"
"124","inlttmp_indoor","concent_ratio",-0.028,1.78e-81,"hepa","42281"
"125","inlttmp_outdoor","concent_ratio",-0.027,1.19e-75,"hepa","42281"
"126","inlttmp_ratio","concent_ratio",0.0016,0.287,"hepa","42281"
"127","concent_indoor","inlttmp_indoor",-0.097,0,"hepa","42281"
"128","concent_outdoor","inlttmp_indoor",-0.29,0,"hepa","42281"
