"","participant_id","environment","type","case","mean","median","q5","q25","q75","q95","sd"
"1","57301","indoor","bin0","hepa",1.8416562787371,1.078,0.4473,0.797,1.655,3.143,4.81138991321294
"2","57301","indoor","bin0","sham",2.42079602834048,1.724,0.683,1.088,3.202,6.267,2.03331551554025
"3","57301","indoor","bin0","redu",23.9235252711646,37.4709976798144,34.5095168374817,26.7463235294118,48.313554028732,49.8484123184937,-136.627806970457
"4","57301","indoor","co","hepa",711.77977173802,628.195,481.3573,556.8375,751.721,1199.2905,290.155570874332
"5","57301","indoor","co","sham",889.944857599042,802.075,545.244,659.89,926.345,1704.164,400.093031043369
"6","57301","indoor","co","redu",20.0197893543302,21.6787706885266,11.7170844612687,15.6166179211687,18.8508601007184,29.6258752091935,27.4779742807167
"7","57301","indoor","no","hepa",10.9475069990804,2.738,2.163,2.35,3.4705,46.6449,32.1075530364871
"8","57301","indoor","no","sham",8.91736982337092,3.608,2.017,2.952,6.152,25.348,20.2967048816412
"9","57301","indoor","no","redu",-22.7660982545419,24.1130820399113,-7.23847297967278,20.3929539295393,43.5874512353706,-84.0180684866656,-58.190963625475
"10","57301","indoor","no2","hepa",8.41528742209053,8.281,3.4965,7.2245,9.0695,10.325,5.1499883049804
"11","57301","indoor","no2","sham",9.93653407843529,7.958,4.918,6.224,10.427,27.716,7.47346836658245
"12","57301","indoor","no2","redu",15.3096305445803,-4.05880874591606,28.9040260268402,-16.0748714652956,13.0190850676129,62.7471496608457,31.0897156130543
"13","57301","indoor","o3","hepa",37.4252316337999,36.611,32.055,34.59,39.374,46.1601,4.29892729001885
"14","57301","indoor","o3","sham",28.9387304660214,28.539,24.465,26.624,30.596,33.85,3.60710991238952
"15","57301","indoor","o3","redu",-29.3257549004891,-28.2841024562879,-31.023911710607,-29.9203725961539,-28.6900248398484,-36.3666174298375,-19.1792707855424
"16","57301","indoor","pm1","hepa",2.41732624910596,1.29,0.511,0.901,2.072,3.86939999999999,7.9130811555512
"17","57301","indoor","pm1","sham",3.01044217143998,2.038,0.708,1.195,4.04,7.507,2.86350154492333
"18","57301","indoor","pm1","redu",19.7019536851065,36.702649656526,27.8248587570621,24.6025104602511,48.7128712871287,48.4561076328761,-176.34282822652
"19","57301","indoor","pm10","hepa",6.07936650659038,2.318,0.6873,1.322,3.969,14.8994,25.1244707729887
"20","57301","indoor","pm10","sham",6.00264744037521,3.55,0.929,1.961,6.946,19.094,7.36349826804175
"21","57301","indoor","pm10","redu",-1.2780871603275,34.7042253521127,26.0172228202368,32.5854156042835,42.8591995393032,21.9681575363989,-241.202915495087
"22","57301","indoor","pm1num","hepa",2.20333360580362,1.34,0.5343,0.989,2.0015,3.7377,5.41949323384464
"23","57301","indoor","pm1num","sham",3.08419958088015,2.338,0.836,1.399,3.948,8.047,2.51401310202027
"24","57301","indoor","pm1num","redu",28.5606022560044,42.6860564585116,36.0885167464115,29.3066476054324,49.3034447821682,53.5516341493725,-115.571399746864
"25","57301","indoor","pm25","hepa",2.66831306835598,1.501,0.5833,1.034,2.2965,4.2107,8.29109909312123
"26","57301","indoor","pm25","sham",3.34704241093703,2.278,0.817,1.432,4.444,8.836,3.03607223735481
"27","57301","indoor","pm25","redu",20.2784804985795,34.1088674275681,28.6046511627907,27.7932960893855,48.3235823582358,52.3460842009959,-173.086357798419
"28","57301","indoor","temp","hepa",23.2671196485133,23.8,21.4,22.3,24,24.2,1.02635309954568
"29","57301","indoor","temp","sham",24.0239297475302,24.3,21.9,23.5,24.8,25.3,1.03594102970207
"30","57301","indoor","temp","redu",3.15023439949352,2.05761316872428,2.28310502283105,5.1063829787234,3.22580645161291,4.34782608695653,0.925528565959719
"31","57301","outdoor","bin0","hepa",6.5827661134304,5.562,1.879,3.877,8.695,13.368,3.92253813593674
"32","57301","outdoor","bin0","sham",6.27823325286663,4.728,1.49,2.744,8.031,15.785,5.33034825948137
"33","57301","outdoor","bin0","redu",-4.85061399120093,-17.6395939086295,-26.1073825503356,-41.2900874635568,-8.26796164861163,15.3120050681026,26.4112222131168
"34","57301","outdoor","co","hepa",582.437245392526,547.056,506.928,526.195,595.787,784.591,205.101126228881
"35","57301","outdoor","co","sham",568.386378897606,528.9975,457.43835,497.26575,611.25025,736.62495,201.473560562651
"36","57301","outdoor","co","redu",-2.47206249420893,-3.41372123686787,-10.8188677228308,-5.81766389500987,2.52977401645233,-6.51159725176292,-1.80051697905162
"37","57301","outdoor","no","hepa",3.65734782608696,2.111,1.61,1.851,2.505,3.791,7.95008249432552
"38","57301","outdoor","no","sham",2.1478267954134,2.033,1.484,1.7215,2.52425,2.888,2.46058052770495
"39","57301","outdoor","no","redu",-70.2813203512073,-3.83669454008855,-8.49056603773586,-7.52250943944234,0.762602753293057,-31.2673130193906,-223.097838286999
"40","57301","outdoor","no2","hepa",10.6483281743203,8.233,3.267,5.416,14.245,24.556,6.8017350387382
"41","57301","outdoor","no2","sham",12.3106217058942,10.638,4.326,7.49825,17.02225,24.35295,6.34130083223216
"42","57301","outdoor","no2","redu",13.5029210651316,22.6076330137244,24.4798890429958,27.7698129563565,16.3154107124499,-0.833779891142556,-7.26087941082537
"43","57301","outdoor","o3","hepa",26.0621231035536,26.957,10.089,22.948,31.477,35.975,7.32955355250506
"44","57301","outdoor","o3","sham",23.6014048481191,23.6425,12.9867,20.09075,27.732,32.58765,5.81898503623916
"45","57301","outdoor","o3","redu",-10.4261516264386,-14.019245003701,22.3128277391485,-14.2217189502632,-13.5042550122602,-10.3945819965539,-25.9593126096468
"46","57301","outdoor","pm1","hepa",3.46051389878831,3.025,0.882,1.715,4.913,7.344,2.10149122006238
"47","57301","outdoor","pm1","sham",4.44236049084691,2.8355,0.798,1.68425,5.8295,11.3069,4.52154667370612
"48","57301","outdoor","pm1","redu",22.1019116769476,-6.68312466937049,-10.5263157894737,-1.82573845925486,15.7217600137233,35.0485102017352,53.5227352117571
"49","57301","outdoor","pm10","hepa",16.975184095306,11.098,1.77,5.059,23.172,51.493,17.2581671099342
"50","57301","outdoor","pm10","sham",29.3013751760209,12.451,1.4571,4.064,29.78225,129.58055,44.0089196899822
"51","57301","outdoor","pm10","redu",42.0669371545476,10.8665970604771,-21.4741610047354,-24.4832677165354,22.1952673152633,60.261783114827,60.7848426375649
"52","57301","outdoor","pm1num","hepa",7.69138132573058,6.538,2.161,4.437,10.26,15.853,4.56078789963664
"53","57301","outdoor","pm1num","sham",7.84774471937236,6.0095,1.72205,3.49825,10.13675,18.30685,6.56787771078224
"54","57301","outdoor","pm1num","redu",1.99246279323785,-8.79440885264996,-25.4899683516739,-26.8348459944258,-1.2158729375786,13.4039990495361,30.5591836439134
"55","57301","outdoor","pm25","hepa",4.39144771408207,4.003,1.103,2.021,6.489,8.504,2.56450113931024
"56","57301","outdoor","pm25","sham",7.25276986521827,5.3135,0.95,2.26625,10.3965,21.4349,6.78845611547222
